PublishDate,Sentence
2017-04-01T02:43:00.000Z,　　據台新投顧統計，去年上市櫃獲利賺逾1股本的公司共有55家，比前年的57家少了2家，但其中則有半數以上獲利相當穩定，30家連3年EPS逾10元，而首次入列的則有同致、鈊象、寶雅、美食、新麥、美律等12家。
2017-04-01T02:43:00.000Z,　　據台新投顧統計，去年上市櫃獲利賺逾1股本的公司共有55家，比前年的57家少了2家，但其中則有半數以上獲利相當穩定，30家連3年EPS逾10元，而首次入列的則有同致、鈊象、寶雅、美食、新麥、美律等12家。
2019-08-02T07:09:00.000Z,屬於淺碟市場的台股經不起連番驚嚇，在三王台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 同步軟腳下，指數跳空殺低逾160點，接連失守10700點、10600點、季線、半年線等關卡，盤中隨著陸港日等亞股跌勢加劇，一度重挫逾200點，下探10524.68點，終場加權股價指數下跌182.71點為10549.04點，已連6日收黑，成交值放大至1580.53億元；周線收黑、本周大跌342點。
2019-08-02T06:19:00.000Z,台股終場下跌182.71點，收在10549.04點，成交值新台幣1580.52億元。
2019-08-02T06:17:00.000Z,美國總統川普無預警發聲，預計在9月再度對大陸祭出3000億美元關稅，全球股市應聲下挫，台股開低走低，帶量挫跌，摔下10600點大關、摜破季線位置，蘋概股遭遇亂流，指數跌幅一度逾200點，終場台股收跌182.71點、報在10549.04點、成交量為1580.52憶元；台股本周收跌342點、周線收黑。
2019-08-02T07:09:00.000Z,屬於淺碟市場的台股經不起連番驚嚇，在三王台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 同步軟腳下，指數跳空殺低逾160點，接連失守10700點、10600點、季線、半年線等關卡，盤中隨著陸港日等亞股跌勢加劇，一度重挫逾200點，下探10524.68點，終場加權股價指數下跌182.71點為10549.04點，已連6日收黑，成交值放大至1580.53億元；周線收黑、本周大跌342點。
2019-08-02T06:19:00.000Z,台股終場下跌182.71點，收在10549.04點，成交值新台幣1580.52億元。
2019-08-02T06:17:00.000Z,美國總統川普無預警發聲，預計在9月再度對大陸祭出3000億美元關稅，全球股市應聲下挫，台股開低走低，帶量挫跌，摔下10600點大關、摜破季線位置，蘋概股遭遇亂流，指數跌幅一度逾200點，終場台股收跌182.71點、報在10549.04點、成交量為1580.52憶元；台股本周收跌342點、周線收黑。
2019-08-26T09:17:19.000Z,"
16.泰銘 (9927) ：每股成交價31.6元，成交量50萬股，成交金額1580萬元。"
2020-06-12T09:14:55.000Z,13.聯發科 (2454) ：每股成交價485.54元，成交量32萬7000股，成交金額1億5877萬1580元。
2021-02-05T06:14:29.000Z,（中央社記者韓婷婷台北2021年2月5日電）今天農曆年長假前封關日，台股收盤上漲96.18點，收在15802.4點，紅盤亮眼封關，鼠年在疫情籠罩下仍繳出超亮眼成績，全年大漲3683.69點，漲幅達30.4%，最大功臣台積電漲幅達9成。
2021-02-16T08:05:05.000Z,農曆鼠年封關台股收在15802.4點，鼠年集中市場上漲3683.69點，漲幅約30.4%；封關日市值新台幣48.15兆元，較豬年增加11.37兆元。
2021-02-16T02:20:01.000Z,（中央社記者韓婷婷台北2021年2月16日電）台股2021年元月強勢上攻16238.46點，鼠年以15802.40點亮麗封關，也替金牛年討個好彩頭。
2021-02-16T02:20:01.000Z,台股鼠年封關日在台積電、聯發科帶動下，指數上漲96.18點亮麗封關，收在15802.40點。
2021-02-16T02:20:01.000Z,第一金電子基金經理人張正中表示，資金行情延燒，加上美國新任總統拜登就任，台股今年1月一度攻上16238.46點，鼠年以15802.40點封關；但由於指數與年線乖離率擴大至近10年新高下，對於追逐短線的投資人，須留意短線技術指標是否過熱。
2021-07-01T02:08:46.000Z,根據智慧芽榜單數據，美國與日本企業在智慧製造領域優勢明顯，其中國際商業機器公司（IBM）、西門子公司、三菱電機株式會社分別以1741件、1580件和1081件相關專利申請數量位列榜單前3名。
2021-07-01T02:08:46.000Z,根據智慧芽榜單數據，美國與日本企業在智慧製造領域優勢明顯，其中國際商業機器公司（IBM）、西門子公司、三菱電機株式會社分別以1741件、1580件和1081件相關專利申請數量位列榜單前3名。
2021-08-12T06:53:00.000Z,（圖／東森新聞）貼文一出引發熱議，不少人笑稱「掛肉包挖比特嗎」、「肯定是包子界台積電，包子裡是包晶片」、「你是在店裡挖礦，然後用顯卡的熱蒸包子嗎」、「電是分享給整條街的鄰居使用吧」，還有人幫忙計算「9.5萬度電，一天1580度，一小時65度，你的電錶應該轉得比DJ的唱片盤還要快」。
