PublishDate,Sentence
2017-08-28T06:58:00.000Z,稅改露出曙光激勵上周五美股多數收高，亞股今日表現平平，台股在三巨頭大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 等權值股熄火下開低，以中小型股相對活躍，佳能 (2374) 、精確 (3162) 、亞泰 (4974) 、新鉅科 (3630) 、旺宏 (2337) 、易華電 (6552) 等強攻漲停，加上金融股突圍相挺，指數力守10500點之上，終場加權指數上漲10.47點為10525.98點，成交值縮至1128.46億元。
2017-12-26T06:21:00.000Z,  盧超群表示，鈺創持續積極轉型，轉向應用和技術層面，記憶體業務不再瞄準「大」容量產品，而會做出更精確的產品，瞄準人工智慧發展與半導體4.0世代之異質技術和產業整合，蘋果的Face ID確實是AI趨勢很重大的一個推手。
2018-03-07T02:25:00.000Z,  隨著全球智慧機產業的變遷，使得向來專注於高階智慧機晶片的高通，持續改變布局，自去年起就開始對中階晶片有所著墨，這對持續耕耘中低階智慧晶片市場的聯發科無疑是一大挑戰，聯發科日前推出Helio P60，相關產品預計在第二季就會上市，而以Helio P60的市場定位來說，對照的是高通的Snapdragon驍龍600系列，也因此，傳出高通有意在今年下半年將驍龍600系列全線升級為10奈米製程，就是要領先聯發科的12奈米製程，增加競爭力，雙方持續較勁，但除了在製程上的領先，雙方的訂價策略應該也是後續關注焦點之一，由於今年中國大陸智慧機大廠在成本控管上更為精確，高CP值的晶片最可獲得他們的青睞。
2018-04-27T04:49:00.000Z,針對外電報導台積電擴大在新竹投資的金額可能高達新台幣4000億元，產業人士表示，因土地問題尚未確定，投資金額無法精確評估。
2018-04-27T04:49:00.000Z,針對外電報導台積電擴大在新竹投資的金額可能高達新台幣4000億元，產業人士表示，因土地問題尚未確定，投資金額無法精確評估。
2018-10-23T02:53:00.000Z, 另外，郭明錤表示，習慣iOS生態的一般用戶，也會從電信營運商或實體通路購得XR，故蘋果官方網站的XR運送時間無法精確反應需求，因有些電信營運商有補貼方案，有些實體通路有優惠方案，故與官方網站相較下，對一般用戶更有吸引力，此外，有些電信營運商開放預購後，部分機型等待時間已到1-2個禮拜，甚至到11月中旬後，在預購偏好方面，也發現新色需求優於預期，更多買家看好64GB。
2018-11-26T06:27:00.000Z,他說，很難精確算出有多少F2pool礦工拔下了挖礦機插頭；與經常往來的大型礦場談話發現，過去幾天有數萬礦工停止挖礦。
2019-01-21T03:01:00.000Z,至於跌幅較重個股則有華義 (3086) 、精確 (3162) 、勝麗 (6238) 、長園科 (8038) 等。
2019-07-29T06:26:45.000Z,上週五創高的美國標準普爾500和Nasdaq指數並未對台股產生激勵效果，受到日韓貿易戰及市場靜待FED會議等因素影響，今天台股指數乏善可陳，股王—大立光 (3008) 及台積電 (2330) 等權值股休兵，資金轉向中小型個股，精成科 (6191) 、保瑞 (6472) 、聯嘉 (6288) 、興能高 (6558) 、辛耘 (3583) 、精確 (3162) 、碩禾 (3691) 、天鉞電 (5251) 、茂迪 (6244) 逆勢以漲停板作收，傳產類股則以油電氣類股表現最佳，終場加權股價指數為10885.73點，下跌6.25點，成交量1041.45億元；OTC指數為142.77點，下跌0.53點，成交量260.69億元。
2019-07-29T06:26:00.000Z,上週五創高的美國標準普爾500和Nasdaq指數並未對台股產生激勵效果，受到日韓貿易戰及市場靜待FED會議等因素影響，今天台股指數乏善可陳，股王—大立光 (3008) 及台積電 (2330) 等權值股休兵，資金轉向中小型個股，精成科 (6191) 、保瑞 (6472) 、聯嘉 (6288) 、興能高 (6558) 、辛耘 (3583) 、精確 (3162) 、碩禾 (3691) 、天鉞電 (5251) 、茂迪 (6244) 逆勢以漲停板作收，傳產類股則以油電氣類股表現最佳，終場加權股價指數為10885.73點，下跌6.25點，成交量1041.45億元；OTC指數為142.77點，下跌0.53點，成交量260.69億元。
2019-07-29T03:21:00.000Z, 今天台股受到日本及韓國股市開低下，指數以下跌開出，儘管盤中有精確 (3162) 、碩禾 (3691) 、天鉞電 (5251) 、茂迪 (6244) 逆勢強攻漲停板，且楠梓電 (2316) 、加高 (8182) 、精成科 (6191) 、瀚宇博 (5469) 、台表科 (6278) 、瑞儀 (6176) 盤中股價逆勢走高，但台積電 (2330) 、大立光 (3008) 、昇達科 (3491) 、台虹 (8039) 、穩懋 (3105) 及致茂 (2360) 等近期強勢個股走弱，拖累台股指數在平盤下震盪，多空在10日線攻防。
2019-10-14T02:15:32.000Z,"
39.精確 (3162) ：9月合併營收年增24.69%，早盤以16.9元封漲停。"
2019-10-14T02:15:00.000Z, 39.精確 (3162) ：9月合併營收年增24.69%，早盤以16.9元封漲停。
2020-04-21T02:56:15.000Z,"
不過，5月交割的WTI期貨交投清淡，並非油市行情精確指標。"
2020-04-27T23:41:43.000Z,"
野村證券半導體產業分析師鄭明宗於台積電法說前精確料到，台積電第二季的展望將不會像市場看得那麼悲觀，他仍舊青睞台積電長期的競爭力與成長動能，不過，最新基於美國可能再祭出對華為禁令，以及下半年庫存修正風險，且考量台積電股價自3月谷底區彈升16％，研判邁入下半年，其報酬風險比更不具吸引力，因而選在此時降評台積電至「中立」，推測合理股價則未更動、維持310元。"
2020-09-09T08:09:18.000Z,經強化的新思Design Compiler NXT合成解決方案能讓設計人員充分利用台積電3奈米技術，透過採用高度精確的全新電阻和電容估計方法提升結果品質(QoR)，並與新思的IC Compiler II佈局繞線解決方案具備更緊密的關聯性。
2020-09-09T08:09:18.000Z,PrimeTime簽核解決方案支援先進的多輸入切換，用於精確的時序分析和簽核收斂。
2020-09-23T08:54:55.000Z,"
工業富聯實施關燈工廠後，效能提升30%，庫存降低15%，人力更大幅減少92%；在電視面板生產過程的製程工站，也採用工業人工智慧技術，大幅提升效能和精確度。"
2021-06-21T04:57:01.000Z,SLM流程始於在晶片深處放置晶片內感測器和 PVT監視器，其所提供的資料將有助於了解晶片效能和功耗活動，並讓SLM平台的分析引擎能夠在半導體生命週期的每個階段帶來更詳細精確的優化。
2021-07-28T23:56:00.000Z,再者，台積電擁有龐大的晶圓代工產能，以及量產無數種不同產品的顯赫經歷，更可以精確掌握交期與各種變數，讓客戶產品能夠準時上市。
2021-07-28T23:56:00.000Z,再者，台積電擁有龐大的晶圓代工產能，以及量產無數種不同產品的顯赫經歷，更可以精確掌握交期與各種變數，讓客戶產品能夠準時上市。
2021-12-19T23:35:13.000Z,隨著蘋果將Apple Silicon產品線區分為M1、M1 Pro、M1 Max等三個等級，據業界消息，蘋果2022年將重新調整Mac系列個人電腦命名，期望能更精確搭配M2系列處理器分級，並明確做出產品差異性及市場區隔。
