PublishDate,Sentence
2017-03-30T00:59:00.000Z,日期：2017年 3月30日※本日焦點股美律、威剛、譜瑞-KY、信昌電、江興鍛、永新-KY、長虹、開發金、新光金、遠雄、日馳、笙科、上詮、耿鼎、得力、健鼎※昨日盤勢解析美國三月消費者信心指數來到 16 年新高，淡化川普執政不順利空，週二西歐三大指數上漲。
2018-07-26T07:02:00.000Z,江興鍛 (4528) 2.2元現金股息今天除息行情亮眼，填息達陣。
2019-01-15T07:07:00.000Z,汽車零組件業力甩中國車市衰退陰霾，江興鍛 (4528) 、智伸科 (4551) 、胡連 (6279) 、英利-KY (2239) 催油門。
2019-01-21T06:23:00.000Z, 電動車個股和大 (1536) 、台達電 (2308) 、勝麗 (6238) 、順德 (2351) 、界霖 (5285) 、江興鍛 (4528) 、貿聯-KY (3665) 、康普 (4739) 雖然有法人看好，但股價今天仍收黑，有待市場認同。
2019-07-25T06:59:00.000Z,而特斯拉第2季財報獲利不如預期，盤後股價重挫逾11%，特斯拉概念股如貿聯-KY (3665) 、順德 (2351) 、江興鍛 (4528) 、康普 (4739) 、新普 (6121) 臉綠，貿聯-KY跌勢相較重，終場收跌3.08%至236元；和大 (1536) 、智伸科 (4551) 則成功由黑翻紅，表現相對強勢。
2019-09-18T02:15:26.000Z,"
26.江興鍛 (4528) ：法人看好Q4將攀高峰，外資、自營商昨聯手買超126張，早盤股價一度反彈逾4%。"
2019-10-22T02:05:40.000Z,"
19.江興鍛 (4528) ：大陸本田營運穩、NTN訂單回溫，Q4將邁入全年高峰，早盤彈升近2%。"
2019-10-24T02:11:15.000Z,"
27.江興鍛 (4528) ：NTN訂單回溫，Q4 EPS有機會挑戰1元，早盤挾量跳漲逾1%。"
2019-10-24T02:11:00.000Z, 27.江興鍛 (4528) ：NTN訂單回溫，Q4 EPS有機會挑戰1元，早盤挾量跳漲逾1%。
2020-03-06T02:01:00.000Z,  20.江興鍛 (4528) ：陸廠復工遞延，3月出貨不樂觀，早盤開低走低。
