PublishDate,Sentence
2017-02-02T07:14:00.000Z,  觀看個股表現，蘋果財報飄香，股王—大立光強勢走高，站上4500元關卡，盤中最高價4580元，再創上市新天價，市值達6100億元以上，成為台股市值第五大公司，終場收盤價為4550元。
2017-02-02T06:11:00.000Z,蘋果(Apple)上季財報優於預期，激勵股王大立光 (3008) 股價一度大漲130元，達4580元，再度刷新天價，終場收漲100元；另一光學鏡頭廠玉晶光 (3406) 股價同樣表現強勁，以漲停196.5元作收。
2017-02-02T03:01:00.000Z,蘋果(Apple)上季財報優於預期，激勵股王大立光 (3008) 股價一度大漲130元，達4580元；而聯發科因第1季展望保守，股價相對弱勢。
2017-02-02T07:14:00.000Z,  觀看個股表現，蘋果財報飄香，股王—大立光強勢走高，站上4500元關卡，盤中最高價4580元，再創上市新天價，市值達6100億元以上，成為台股市值第五大公司，終場收盤價為4550元。
2017-02-02T06:11:00.000Z,蘋果(Apple)上季財報優於預期，激勵股王大立光 (3008) 股價一度大漲130元，達4580元，再度刷新天價，終場收漲100元；另一光學鏡頭廠玉晶光 (3406) 股價同樣表現強勁，以漲停196.5元作收。
2017-02-02T03:01:00.000Z,蘋果(Apple)上季財報優於預期，激勵股王大立光 (3008) 股價一度大漲130元，達4580元；而聯發科因第1季展望保守，股價相對弱勢。
2017-03-15T03:12:00.000Z,股王大立光 (3008) 盤中弱勢來到4580元，跌1.4%，鴻海 (2317) 盤中來到90.2元，小漲0.2%，台積電 (2330) 守平盤186元。
2018-12-13T06:44:00.000Z,捷流閥業 (4580) 將於明天以每股60元登錄興櫃，主辦推薦證券商為元大證券。
2018-12-13T06:44:00.000Z,近年來捷流閥業業績與獲利均呈穩定成長趨勢，2017年營收為15.84億元，稅後盈餘1.28億元，每股稅後盈餘3.93元；今年上半年度營收為9.84億元，稅後盈餘1.49億元，每股稅後盈餘4.53元，上半年度已經賺贏去年一整年，前11月自結營收已達17.04億元，也已超越去年全年表現。
2018-12-13T06:44:00.000Z,　捷流閥業屬於製程/流量自動化產業，以自有品牌行銷國際，資本額3.56億元，主要營業項目為工業閥門的研發、設計、製造及銷售，生產閥類產品囊括蝶閥、外購閥及其他等，產品廣泛運用於石油、化工、鋼鐵、造船、能源、水處理、礦業、造紙、空調及電子等多個行業領域。
2018-12-13T06:44:00.000Z,　捷流閥業是國內實力堅強的工業控制閥門及解決方案供應商，從直軸橡膠蝶閥，進而開發雙偏心、三偏心高性能蝶閥，以齊全的產品鏈來服務客戶。
2018-12-13T06:44:00.000Z, 　捷流閥業與客戶建立長期關係，客戶回流率高，又產品屬於少量多樣，因此，捷流閥業平均毛利率約在30％，遠優於一般電子和機電業。
2018-12-13T06:44:00.000Z,　自動化產業及在智能製造趨勢中，精密傳動與控制元件扮演重要角色，捷流閥業智能化產品，如蝶閥、控制閥等可搭配高階伺服驅動控制及通訊介面達到客戶需求，提供自動化完整解決方案，其精密製造概念應用在工業4.0、智慧工廠發展趨勢中扮演重要性關鍵角色。
2018-12-13T06:44:00.000Z,捷流閥業未來將持續以自有品牌行銷國際，加強在地支援、開發創新產品，滿足客戶在地化需求。
2020-03-03T06:48:17.000Z,"
盤面上，蘋概股表現表現出色，大立光開高走高，一度上漲逾200元，終場收在4580元，漲幅4.57%；台積電順利收復5日均線，尾盤收在317.5元，鴻海下午舉行法說會，股價上漲1.8元，重回年線收在81元；自行車雙雄巨大 (9921) 、美利達 (9914) 擺脫大陸停工陰霾，今日雙雙收紅，收盤為166.5元、155.5元，漲幅4.06%及5.07%；造紙類股多頭士氣如虹，正隆收在24.2元，漲幅3.64%；永豐餘收在13.75元，漲幅度1.48%。"
2020-03-03T06:48:00.000Z,  盤面上，蘋概股表現表現出色，大立光開高走高，一度上漲逾200元，終場收在4580元，漲幅4.57%；台積電順利收復5日均線，尾盤收在317.5元，鴻海下午舉行法說會，股價上漲1.8元，重回年線收在81元；自行車雙雄巨大 (9921) 、美利達 (9914) 擺脫大陸停工陰霾，今日雙雙收紅，收盤為166.5元、155.5元，漲幅4.06%及5.07%；造紙類股多頭士氣如虹，正隆收在24.2元，漲幅3.64%；永豐餘收在13.75元，漲幅度1.48%。
2020-03-03T06:48:17.000Z,"
盤面上，蘋概股表現表現出色，大立光開高走高，一度上漲逾200元，終場收在4580元，漲幅4.57%；台積電順利收復5日均線，尾盤收在317.5元，鴻海下午舉行法說會，股價上漲1.8元，重回年線收在81元；自行車雙雄巨大 (9921) 、美利達 (9914) 擺脫大陸停工陰霾，今日雙雙收紅，收盤為166.5元、155.5元，漲幅4.06%及5.07%；造紙類股多頭士氣如虹，正隆收在24.2元，漲幅3.64%；永豐餘收在13.75元，漲幅度1.48%。"
2020-03-03T06:48:00.000Z,  盤面上，蘋概股表現表現出色，大立光開高走高，一度上漲逾200元，終場收在4580元，漲幅4.57%；台積電順利收復5日均線，尾盤收在317.5元，鴻海下午舉行法說會，股價上漲1.8元，重回年線收在81元；自行車雙雄巨大 (9921) 、美利達 (9914) 擺脫大陸停工陰霾，今日雙雙收紅，收盤為166.5元、155.5元，漲幅4.06%及5.07%；造紙類股多頭士氣如虹，正隆收在24.2元，漲幅3.64%；永豐餘收在13.75元，漲幅度1.48%。
