PublishDate,Sentence,Score
2017-06-01T06:38:00.000Z,  台股今日回神主要仍歸功於權值股的撐盤表現，華邦電 (2344) 漲幅逾9%；旺宏 (2337) 上漲5.56%，佳世達 (2352) 和裕日車 (2227) 上漲逾4%；台灣高鐵 (2633) 也在買盤推升下，今日創下掛牌以來新高，終場上漲3.74%，收在26.35元；儒鴻 (1476) 、緯創 (3231) 和華新 (1605) 皆上漲逾2%；仁寶 (2324) 、台積電 (2330) 、英業達 (2356) 、鴻海 (2317) 、華碩 (2357) 、南亞科 (2408) 等漲幅皆逾1%。,7
2017-06-01T00:57:00.000Z,2.其他個股表現或跌深反彈者，諸如佳格 (1227) 、台灣高鐵 (2633) 、旺宏 (2337) 、美利達 (9914) 、中裕 (4147) 、創見 (2451) 、亞太電 (3682) 、佳世達 (2352) 等。,-1
2017-06-02T07:13:00.000Z,　盤面上各類股漲多跌少，大型電子股扮領攻要角，股王大立光 (3008) 收在今日最高4845元，台積電 (2330) 、鴻海 (2317) 雙雙收高近1%，聯發科 (2454) 因蔡力行接掌共同執行長獲市場力挺走高，面板雙虎友達 (2409) 、群創 (3481) 聯袂走揚；記憶體族群旺宏 (2337) 獲美系外資喊上22元，股價爆量攻頂，帶動群聯 (8299) 、華邦電 (2344) 同步衝高；中小型強勢股佳世達 (2352) 在外資持續加碼下續寫近9年新高，毅嘉 (2402) 受到5月營收寫20個月新高激勵亮燈漲停。,12
2017-06-02T02:26:00.000Z,其餘中小型強勢續揚股還有佳世達 (2352) 在外資持續加碼下，大漲逾3%，已經拉出第五根紅K，毅嘉 (2402) 也在5月營收寫20個月新高帶動下，攻上漲停。,7
2017-06-02T00:59:00.000Z,5.其他個股表現者，諸如裕日車 (2227) 、台灣高鐵 (2633) 、佳世達 (2352) 、元太 (8069) 、綠悅-KY (1262) 、訊芯-KY (6451) 、日勝生 (2547) 、智冠 (5478) 、大宇資 (6111) 、劍麟 (2228) 等。,0
2017-06-01T06:38:00.000Z,  台股今日回神主要仍歸功於權值股的撐盤表現，華邦電 (2344) 漲幅逾9%；旺宏 (2337) 上漲5.56%，佳世達 (2352) 和裕日車 (2227) 上漲逾4%；台灣高鐵 (2633) 也在買盤推升下，今日創下掛牌以來新高，終場上漲3.74%，收在26.35元；儒鴻 (1476) 、緯創 (3231) 和華新 (1605) 皆上漲逾2%；仁寶 (2324) 、台積電 (2330) 、英業達 (2356) 、鴻海 (2317) 、華碩 (2357) 、南亞科 (2408) 等漲幅皆逾1%。,7
2017-06-01T00:57:00.000Z,2.其他個股表現或跌深反彈者，諸如佳格 (1227) 、台灣高鐵 (2633) 、旺宏 (2337) 、美利達 (9914) 、中裕 (4147) 、創見 (2451) 、亞太電 (3682) 、佳世達 (2352) 等。,-1
2017-06-02T07:13:00.000Z,　盤面上各類股漲多跌少，大型電子股扮領攻要角，股王大立光 (3008) 收在今日最高4845元，台積電 (2330) 、鴻海 (2317) 雙雙收高近1%，聯發科 (2454) 因蔡力行接掌共同執行長獲市場力挺走高，面板雙虎友達 (2409) 、群創 (3481) 聯袂走揚；記憶體族群旺宏 (2337) 獲美系外資喊上22元，股價爆量攻頂，帶動群聯 (8299) 、華邦電 (2344) 同步衝高；中小型強勢股佳世達 (2352) 在外資持續加碼下續寫近9年新高，毅嘉 (2402) 受到5月營收寫20個月新高激勵亮燈漲停。,12
2017-06-02T02:26:00.000Z,其餘中小型強勢續揚股還有佳世達 (2352) 在外資持續加碼下，大漲逾3%，已經拉出第五根紅K，毅嘉 (2402) 也在5月營收寫20個月新高帶動下，攻上漲停。,7
2017-06-02T00:59:00.000Z,5.其他個股表現者，諸如裕日車 (2227) 、台灣高鐵 (2633) 、佳世達 (2352) 、元太 (8069) 、綠悅-KY (1262) 、訊芯-KY (6451) 、日勝生 (2547) 、智冠 (5478) 、大宇資 (6111) 、劍麟 (2228) 等。,0
2017-06-06T06:58:00.000Z,佳世達 (2352) 力孵小金雞，旗下明基智能投入自動化領域提供各領域服務與創新商業模式，佳世達轉往智慧聯網發展，股價上漲4%，於高檔蓄勢。,7
2017-06-06T06:09:00.000Z,外資調節持股，權值股晶圓代工龍頭台積電 (2330) 、蘋果光學鏡頭供應商大立光 (3008) 、系統代工服務龍頭鴻海 (2317) 小跌，但面板雙虎友達 (2409) 、群創 (3481) 走揚，明基友達集團的佳世達 (2352) 大漲。,3
2017-06-06T02:52:00.000Z,佳世達 (2352) 力孵小金雞，旗下明基智能投入自動化領域提供各領域服務與創新商業模式，佳世達轉往智慧聯網發展，早盤股價續漲約3.5%。,7
