PublishDate,Sentence,Score
2018-07-04T07:06:00.000Z,台股今日由比特幣挖礦及被動元件族群擔綱演出，台積電 (2330) 因到四川洪災將有急單消息鼓舞勁揚，激勵挖礦概念股撼訊 (6150) 、映泰 (2399) 及青雲 (5386) 同鎖漲停，被動元件族群在禾伸堂 (3026) 、雷科 (6207) 、蜜望實 (8043) 同步漲停下表現搶眼，帶動指數向上攻高，惟市場買盤仍受制中美貿易戰呈現觀望，多空於年線附近進行激戰，終場加權指數上漲6.15點為10721.87點，五日線無功而返，成交值縮至1219.63億元。,10
2018-07-04T07:06:00.000Z,　比特幣挖礦機重鎮四川受洪患重創，市場看好可望掀起一波新急單，今日由台積電 (2330) 開香檳展開慶祝行情，帶動創意 (3443) 同步走高，撼訊 (6150) 、映泰 (2399) 及青雲 (5386) 等強鎖漲停。,7
2018-07-04T06:05:00.000Z,傳出比特幣挖礦機重鎮四川受洪患重創，上萬台挖礦機被洪水淹沒，全球算力驟減三成，預料將引發新一波急單，挖礦用的顯示卡業者撼訊 (6150) 、映泰 (2399) 等股價強勢反彈。,-2
2018-07-04T03:04:00.000Z,傳出比特幣挖礦機重鎮四川受洪患重創，上萬台挖礦機被洪水淹沒，全球算力驟減三成，預料將引發新一波急單，挖礦用的顯示卡業者撼訊 (6150) 、映泰 (2399) 等股價強勢反彈。,-2
2018-07-04T07:06:00.000Z,台股今日由比特幣挖礦及被動元件族群擔綱演出，台積電 (2330) 因到四川洪災將有急單消息鼓舞勁揚，激勵挖礦概念股撼訊 (6150) 、映泰 (2399) 及青雲 (5386) 同鎖漲停，被動元件族群在禾伸堂 (3026) 、雷科 (6207) 、蜜望實 (8043) 同步漲停下表現搶眼，帶動指數向上攻高，惟市場買盤仍受制中美貿易戰呈現觀望，多空於年線附近進行激戰，終場加權指數上漲6.15點為10721.87點，五日線無功而返，成交值縮至1219.63億元。,10
2018-07-04T07:06:00.000Z,　比特幣挖礦機重鎮四川受洪患重創，市場看好可望掀起一波新急單，今日由台積電 (2330) 開香檳展開慶祝行情，帶動創意 (3443) 同步走高，撼訊 (6150) 、映泰 (2399) 及青雲 (5386) 等強鎖漲停。,7
2018-07-04T06:05:00.000Z,傳出比特幣挖礦機重鎮四川受洪患重創，上萬台挖礦機被洪水淹沒，全球算力驟減三成，預料將引發新一波急單，挖礦用的顯示卡業者撼訊 (6150) 、映泰 (2399) 等股價強勢反彈。,-2
2018-07-04T03:04:00.000Z,傳出比特幣挖礦機重鎮四川受洪患重創，上萬台挖礦機被洪水淹沒，全球算力驟減三成，預料將引發新一波急單，挖礦用的顯示卡業者撼訊 (6150) 、映泰 (2399) 等股價強勢反彈。,-2
2018-07-17T07:13:00.000Z,受惠貝萊德認真看待加密貨幣，比特幣概念股創意 (3443) 、撼訊 (6150) 、映泰 (2399) 漲聲響起。,4
2018-07-17T06:36:00.000Z,傳貝萊德考慮投資加密貨幣，比特幣大漲4%，提振概念股氣勢，包括撼訊 (6150) 、創意 (3443) 、映泰 (2399) 等今日紛紛爆量強攻，其中撼訊更以漲停價131元作收，表現搶眼。,6
2018-07-17T06:25:00.000Z,傳貝萊德考慮投資加密貨幣，比特幣大漲回溫，提振概念股氣勢，撼訊 (6150) 收漲停131元，創意 (3443) 漲逾5%，收308元、映泰 (2399) 股價漲近6%，收15.6元。,7
2018-07-17T02:58:00.000Z,傳貝萊德考慮投資加密貨幣，比特幣大漲回溫，提振概念股氣勢，撼訊 (6150) 一度飆漲停至131元，創意 (3443) 早盤漲逾6%，至312.5元、映泰 (2399) 股價漲逾6%，至15.85元。,8
2018-07-24T07:08:00.000Z,nVIDIA新品發表可望刺激買氣，顯卡及主板族群微星 (2377) 、技嘉 (2376) 、映泰 (2399) 、撼訊 (6150) 及青雲 (5386) 聯袂勁揚。,0
2018-07-24T02:41:00.000Z,今年下半市場期待nVIDIA發表新一代Geforce顯卡刺激買氣，若如預期在八月德國Gamescom電玩展發表，可望帶動國內顯卡業者10~11月營收，今日包括微星 (2377) 、技嘉 (2376) 、映泰 (2399) 、撼訊 (6150) 及青雲 (5386) 等皆攜手走揚，表現優於大盤。,4
