PublishDate,Sentence
2017-01-12T08:39:00.000Z,權值股轉強 電子仍為主軸 金融與原物料維持強勢1. 電子股指數領先大盤過高，周四再度創波段新高，為目前市場主流，指標股 2330 台積電、3008 大立光下午法說，市場預期以利多解讀，觀察法人對利多反應，電子近期下游走勢有轉強跡象，包括 2357 華碩、2382 廣達、3231 緯創等，由於銅箔價格維持強勢，2383 台光電、6274 台燿、6213 聯茂等法人買盤仍持續進駐，被動元件 2327 國巨在實施庫藏以及去年營收表現優異之下，帶領被動元件轉強，電業法三讀，未來綠能業者可直銷與用戶，帶動太陽能族群反彈，面板報價有望續強到第三季，2409 友達、3481 群創高檔強勢整理。
2017-01-25T04:21:00.000Z,其他包括可成、群光、華碩、鴻海、富邦金、正新、巨大董事酬金加計員工酬勞後，每位董事平均年領超過3000萬元，在上市公司董事中排名領先。
2017-01-25T04:21:00.000Z,其他包括可成、群光、華碩、鴻海、富邦金、正新、巨大董事酬金加計員工酬勞後，每位董事平均年領超過3000萬元，在上市公司董事中排名領先。
2017-02-16T03:17:00.000Z,電子股的表現部分，權值股台積電以 190 元小紅開出，盤中力守平之上，大立光以 4715 元紅盤開出，可惜盤中翻黑，鴻海 (2317) 以 91.5 元紅盤開出，盤中也翻黑；華碩法說會後股價走弱，面板雙雄友達、群創也開小紅，但友達翻黑小跌，宏達電延續漲勢，力守紅盤，美律漲幅逾 2%，表現搶眼。
2017-02-23T06:27:00.000Z,  以台灣前100大權值股觀察，台玻 (1802) 、臻鼎-KY (4958) 和亞太電 (3682) 今日同步放量上攻，盤中皆創下波段新高，廣達 (2382) 終場上漲3.07%，IC設計股王矽力-KY (6415) 盤中一度達523元，創下波段新高，華碩 (2357) 、大立光 (3008) 、力成 (6239) 、聯電 (2303) 、萬海 (2615) 皆上漲逾1%。
2017-03-10T06:02:00.000Z,  電子股方面，今龍頭權值股儘管早盤普遍走弱，但午盤後包括股王大立光 (3008) 、鴻海 (2317) 等翻紅演出，台積電 (2330) 則小跌震盪，季線失守，華碩 (2357) 表現有撐，股價小漲震盪，另外，先前挾題材強勢的中小型個股，近期也轉趨平靜，櫃買指數目前已經連3個交易日呈現黑K，所幸收盤驚險守住月線，預計短線恐仍將以區間震盪為主，在未突破前波高點前，恐會以個股表現為主，少數強勢的個股包括擬公開收購拍檔、溢價近4成的佳世達 (2352) ，今量增大漲4.5%，網通股的譁裕 (3419) 、台通 (8011) 也分別在業績報喜以及買盤簇擁下，搶下多頭旗幟。
2017-03-14T06:40:00.000Z,  權值股中，亞系外資出具報告維持金屬機殼大廠可成 (2474) 「買進」評等，且目標價自290元上修到310元，激勵今日股價終場以大漲17元，達273.5元作收，漲幅6.63%，表現最為亮眼；群光 (2385) 和創見 (2451) 漲幅分別為5.99%、4.3%；長榮航 (2618) 、元大金漲幅皆逾3%，統一 (1216) 、台塑化 (6505) 、華碩 (2357) 和美利達 (9914) 、英業達 (2356) 、中租-KY (5871) 、統一超 (2912) 、聯詠 (3034) 、健鼎 (3044) 、GIS-KY (6456) 漲幅皆逾2%。
2017-03-15T03:10:00.000Z,開發工銀的投資軌跡儼然就是一部台灣產業發展史，當今耳熟能詳的世界級企業包括台積電 (2330) 、宏?? (2353) 、華碩 (2357) 、友達 (2409) 等，都是開發工銀在早期就參與投資的客戶。
2017-03-21T06:55:00.000Z,  另外，時序進入最後一波的法說會高峰期，多家重量級公司在法說會的營運展望，都將受到法人密切關注，也會直接影響到整體盤勢，本周起至月底，計有18家上市櫃公司已公告將陸續舉行法說會，主要分布在半導體、網通、電信等電子股，以及金融、塑膠、電機等傳統產業，其中，包括富邦金、兆豐金 (2886) 、遠傳 (4904) 、華碩 (2357) 、開發金、緯創 (3231) 、臺企銀 (2834) 等產業龍頭廠，將是此波法說的市場焦點。
2017-03-22T00:59:00.000Z,※未來注意事項1.週三(3/22)台股重要法說會公司：亞德客-KY (1590) 、日月光 (2311) 、仁寶 (2324) 、台積電 (2330) 、華碩 (2357) 、京元電子 (2449) 、聯發科 (2454) 、奇力新 (2456) 、義隆 (2458) 、可成 (2474) 、穩懋 (3105) 、景碩 (3189) 、新日興 (3376) 、譜瑞-KY (4966) 、GIS-KY (6456) 等。
2017-04-01T02:43:00.000Z,此外，大多數品牌廠，因毛利率較高，拉高獲利表現，也是能夠賺進1股本的常勝軍，精華由ODM轉進發展品牌，經營自有隱形眼鏡品牌「帝康」，以及華碩、和泰車等皆屬此類。
2017-04-01T02:43:00.000Z,此外，大多數品牌廠，因毛利率較高，拉高獲利表現，也是能夠賺進1股本的常勝軍，精華由ODM轉進發展品牌，經營自有隱形眼鏡品牌「帝康」，以及華碩、和泰車等皆屬此類。
2017-04-06T07:05:00.000Z,　股王大立光 (3008) 看淡4月營收衝擊市場信心，股價應聲重挫4%，拖累光學元件族群玉晶光 (3406) 摔落300元，亞光 (3019) 及新鉅科 (3630) 同步走弱，僅先進光 (3362) 逆勢走高；權值股台積電 (2330) 、鴻海 (2317) 、聯發科 (2454) 、華碩 (2357) 等全面壓回修正；環球晶 (6488) 及合晶 (6182) 受惠矽晶圓價格上漲，帶動股價逆勢走揚；光通訊族群在產業前景暢旺下扮演抗跌指標，光聖 (6442) 、華星光 (4979) 聯袂勁揚。
2017-04-06T02:21:00.000Z,  電子股方面，股王大立光 (3008) 因為3月營收略低於市場預期，加上公司表示，適逢新舊產品交替，4月不會比3月好，今股價聞訊下跌，盤中跌幅一度近3%，股價最低來到4660元，摔下月線，其餘台積電 (2330) 、鴻海 (2317) 、聯發科 (2454) 、華碩 (2357) 等也同步壓回修正，在電子權值股無力撐盤下，也使得台股指數走低，早盤一度下跌逾50點。
2017-04-07T06:24:00.000Z,  台股今日權值股無力，台積電 (2330) 、聯電 (2303) 壓低震盪，股價小跌，鴻海 (2317) 、聯發科 (2454) 、華碩 (2357) 等亦壓回修正，反倒是股王大立光 (3008) 盤中翻紅，股價逆勢走揚，終場收在4700元，上漲2.17%，宏達電 (2498) 也在3月營收雙成長下，股價一度重回80元大關，整場逆勢抗跌。
2017-04-07T01:57:00.000Z,再來是LG排第四、亞馬遜是老五，台廠宏??(2353)和華碩(2357)分別排名第六、第七(完整評分見此)。
2017-04-10T09:12:00.000Z,  12.華碩 (2357) ：每股成交價296.33元，成交量26萬6000股，成交金額7882萬3780元。
2017-04-10T09:12:00.000Z,  13.華碩 (2357) ：每股成交價296.3元，成交量45萬8000股，成交金額1億3570萬5400元。
2017-04-14T07:04:00.000Z,　權值股方面，兩大天王大立光 (3008) 、台積電 (2330) 法說後走勢分歧，大立光釋出4月營運比預期好、5月也不會比4月差，外資目標價喊上6060元，激勵股價飆高逾8%收在4800元，台積電保守看待衝擊股價走跌1.3%、失守190元；面板雙虎友達 (2409) 、群創 (3481) 收在平盤相對穩健，聯發科 (2454) 、宏達電 (2498) 、華碩 (2357) 、鴻海 (2317) 同步走疲。
2017-04-14T03:27:00.000Z,  其餘權值龍頭股方面，今日面板股也出現賣壓，友達 (2409) 、群創 (3481) 今日也聯袂壓回修正，群創盤中下跌逾1%，至於聯發科 (2454) 、宏達電 (2498) 、華碩 (2357) 、鴻海 (2317) 等股價也表現疲軟、無力撐盤。
2017-05-10T07:05:00.000Z,　盤面上，電子股仍為多頭主帥，權值股今日漲跌互見，台積電 (2330) 持續向上登高，面板雙虎友達 (2409) 、群創 (3481) 雙雙勁揚逾1%，宏達電 (2498) Q1毛利率寫下6季新高、股價強攻漲停，帶動供應鏈位速 (3508) 跟進大漲5%，大立光 (3008) 、華碩 (2357) 則震盪走跌。
2017-05-10T03:18:00.000Z,  今大型權值股相對低調，無突出表現，股王大立光 (3008) 於盤下小跌震盪，跌幅在0.5%~1%間狹幅震盪，台積電 (2330) 延續昨日強勢，股價小漲，最高達206元，鴻海 (2317) 盤中在平盤附近跳動，華碩 (2357) 則小跌震盪。
2017-05-12T07:02:00.000Z,　盤面上，權值股表現沉悶成為萬點不保的主因，蘋果三劍客大立光 (3008) 、鴻海 (2317) 、台積電 (2330) 同步走軟，華碩 (2357) 因法說釋出保守展望拖累股價重挫，下周端出年度旗艦機的宏達電 (2498) 則逆勢突圍攻上70元；電子股以網通族群相對有撐，明泰 (3380) 、啟碁 (6285) 、譁裕 (3419) 、華星光 (4979) 等同步勁揚；Q1績優股表現搶眼，南茂 (8150) 、群聯 (8299) 齊步走高，嘉澤 (3533) 及貿聯-KY (3665) 盤中亮燈漲停。
2017-05-12T06:43:00.000Z,  電子股今日在大型權值股攻勢壓抑下，成為挑戰兩天收盤叩關萬點失利的最主要原因，股王大立光 (3008) 收盤跌破4900元大關，報在4885元，跌幅約1.5%，台積電 (2330) 亦收小跌、報在206元，鴻海 (2317) 亦呈現降溫修正，股價收跌在102.5元，華碩 (2357) 也因法說釋出保守展望，法人估Q2營收季減約1成，毛利率恐再下探，EPS恐較首季再衰退近5成，終場股價收跌3.75%，今日權值股中相對亮眼的就屬宏達電 (2498) ，受惠新品即將在下周二發表的消息面題材激勵下，股價重新站回70元大關。
