PublishDate,Sentence
2019-03-06T02:02:00.000Z, 22.圓剛 (2417) ：2月營收年增31.02%，力甩外資連7賣超頹勢，晨盤跌深反彈，上漲近4%。
2019-05-07T02:04:00.000Z, 9.圓剛 (2417) ：4月營收月增5.28%、年增30.10%，推升股價上漲逾4%，站上月線。
2019-09-02T09:20:10.000Z,"
7.台積電 (2330) ：每股成交價257.19元，成交量9萬4000股，成交金額2417萬5860元。"
2019-09-02T09:20:10.000Z,"
7.台積電 (2330) ：每股成交價257.19元，成交量9萬4000股，成交金額2417萬5860元。"
2020-02-25T02:12:00.000Z,  22.圓剛 (2417) ：搭上宅經濟，遠距商機靚，撇外資連5日賣超近千張，股價一度震盪翻紅上漲，重登5日線。
2020-03-04T02:08:20.000Z,"
38.圓剛 (2417) ：肺炎疫情點燃遠距商機，早盤放量觸及漲停。"
2020-03-04T02:08:00.000Z,  38.圓剛 (2417) ：肺炎疫情點燃遠距商機，早盤放量觸及漲停。
2020-03-04T02:08:20.000Z,"
38.圓剛 (2417) ：肺炎疫情點燃遠距商機，早盤放量觸及漲停。"
2020-03-04T02:08:00.000Z,  38.圓剛 (2417) ：肺炎疫情點燃遠距商機，早盤放量觸及漲停。
2020-06-09T02:29:44.000Z,盤面上，龍頭漲多拉回大立光、鴻海、群創及友達皆壓低整理；台積電今日股東會董事長劉德音強調有三個競爭優勢，今年營運仍將會穩定成長，股價由平盤下方上攻，拉回在平盤附近；和大 (1536) 買單拉高，一度攻上漲停106.5元，隨後打開，漲幅約在8%左右；圓剛 (2417) Q2營運不淡，多頭攻勢凌厲，漲幅在9%以上；台達電 (2308) 5月營收近持平，Q2業績將勝Q1，股價漲幅在5%左右；另外，5月營收成長股及解封受疫族群表現相對強勢；ABC-KY (6598) 今以48元上市，新冠肺炎檢驗試劑力拚6月在美上市，盤中一度衝上110元、大漲近130%，蜜月行情火熱。
2020-06-29T23:41:05.000Z,"
◆搭防疫特快車，圓展、圓剛除息行情夯。"
2020-06-29T23:41:05.000Z,"
◆搭防疫特快車，圓展、圓剛除息行情夯。"
