PublishDate,Sentence
2017-01-04T06:13:00.000Z,MoneyDJ新聞 2017-01-04 14:13:19 記者 蔡承啟 報導之前早就盛傳三星電子將在今年(2017年)推出螢幕可以對折的摺疊式智慧手機，之後傳出三星在推出可摺疊智慧機之前可能會先推出雙螢幕智慧手機試水溫，而最新則有消息指稱，三星可能最快會在今年Q3開賣摺疊式智慧手機。
2017-01-08T23:59:00.000Z,MoneyDJ新聞 2017-01-09 07:59:48 記者 蔡承啟 報導2014年開賣的iPhone 6系列目前是蘋果最暢銷的iPhone機種，而因今年(2017年)適逢iPhone問世來第10週年，因此盛傳蘋果(Apple)將在今年推出大改版機種、有望推升iPhone銷售量，而野村證券更看好2017年版iPhone(iPhone 8)銷售量將破紀錄、遠超iPhone 6。
2017-01-11T00:36:00.000Z,MoneyDJ新聞 2017-01-11 08:36:18 記者 蔡承啟 報導路透社引述韓聯社10日的報導指出，據關係人士表示，三星電子旗下面板公司Samsung Display計畫在越南追加投資3兆韓圜(25.1億美元)擴大產能。
2017-01-13T05:46:00.000Z,"MoneyDJ新聞 2017-01-13 13:46:28 記者 蔡承啟 報導日本媒體報導，日本電玩大廠任天堂(Nintendo)於13日在東京為新款遊戲機「Nintendo Switch」舉行發表會「Nintendo Switch Presentation 2017」，正式宣布Switch將在3月3日於日本、美國、加拿大、歐洲主要國家以及澳洲、香港等地開賣，售價為29,980日圓/299.99美元，且將自1月21日起開放預購。"
2017-01-18T01:41:00.000Z,MoneyDJ新聞 2017-01-18 09:41:31 記者 蔡承啟 報導去年底iPhone 6s發生異常關機問題、電池明明仍有殘量卻會無預警關機，也讓蘋果(Apple)於去年11月21日宣布，有上述困擾的iPhone 6s用戶可享有一次免費更換電池的服務。
2017-01-24T00:50:00.000Z,MoneyDJ新聞 2017-01-24 08:50:24 記者 蔡承啟 報導日經新聞24日報導，日本電子零件大廠訂單已呈現好轉，上季(2016年10-12月)日本6大電子零件廠(村田製作所、TDK、京瓷、日本電產、Alps Electric和日東電工)訂單額合計較去年同期成長約3%至約1.42兆日圓，為5季來首度呈現增長，季度別訂單額僅次於2015年7-9月的約1.46兆日圓、創史上次高水準。
2017-02-02T23:06:00.000Z,MoneyDJ新聞 2017-02-03 07:06:06 記者 蔡承啟 報導南韓三星電子將Galaxy Note 7爆炸起火的原因定調為「電池缺陷」，且兩家電池供應商---三星SDI和TDK旗下香港子公司Amperex Technology Limited(ATL))都有問題，也讓市場高度關注預計今年春天開賣的次代旗艦機種Galaxy S8電池究竟會由哪家廠商供應，日前也傳出三星將找南韓市場死對頭LG供應電池。
2017-02-02T23:06:00.000Z,MoneyDJ新聞 2017-02-03 07:06:06 記者 蔡承啟 報導南韓三星電子將Galaxy Note 7爆炸起火的原因定調為「電池缺陷」，且兩家電池供應商---三星SDI和TDK旗下香港子公司Amperex Technology Limited(ATL))都有問題，也讓市場高度關注預計今年春天開賣的次代旗艦機種Galaxy S8電池究竟會由哪家廠商供應，日前也傳出三星將找南韓市場死對頭LG供應電池。
2017-02-08T06:16:00.000Z,MoneyDJ新聞 2017-02-08 14:16:59 記者 蔡承啟 報導三星電子曾於去年11月宣布，次代旗艦智慧手機Galaxy S8將搭載活用AI人工智慧的助理服務。
2017-02-08T02:11:00.000Z,"MoneyDJ新聞 2017-02-08 10:11:19 記者 蔡承啟 報導全球再生晶圓大廠RS Technologies 7日於日股盤後發布新聞稿宣布，因台灣子公司「RSTEC Semiconductor Taiwan Co., LTD.(艾爾斯半導體股份有限公司、見附圖)」台南工廠以及日本三本木工廠稼動率(產能利用率)走升，加上受惠日圓走貶，故2016年度(2016年1-12月)合併營收目標自原先預估的77.4億日圓上修至88.49億日圓(將年增60%)、合併營益目標自15.31億日圓上修至15.57億日圓(將年增44%)、合併純益目標也自7.42億日圓上修至8.69億日圓(將年增186%)。"
2017-02-15T01:08:00.000Z,MoneyDJ新聞 2017-02-15 09:08:42 記者 蔡承啟 報導全球再生晶圓大廠RS Technologies 14日於日股盤後公布上年度(2016年1-12月)財報：因12吋/8吋晶圓供需緊繃，台灣台南工廠於上季進入產能全開狀態，提振合併營收年增59.6%至88.49億日圓、合併營益大增44.1%至15.57億日圓、經常利益(本業獲利+業外獲利)大增54.7%至歷史新高的14.5億日圓。
2017-02-16T02:22:00.000Z,MoneyDJ新聞 2017-02-16 10:22:17 記者 蔡承啟 報導蘋果(Apple)盛傳將在今年推出3款iPhone新機，包含4.7吋iPhone 7s、5.5吋iPhone 7s Plus以及一款搭載OLED面板的iPhone 8。
2017-02-17T23:11:00.000Z,MoneyDJ新聞 2017-02-18 07:11:02 記者 蔡承啟 報導蘋果(Apple)iPhone「印度製造」流傳已久，日前也有印度官員宣布蘋果將在印度製造iPhone。
2017-02-23T06:00:00.000Z,MoneyDJ新聞 2017-02-23 14:00:15 記者 蔡承啟 報導南韓三星電子預計3月發表的旗艦智慧手機Galaxy S8系列機種背負著重振因Note 7爆炸而受挫的品牌形象的重責大任。
2017-02-24T05:48:00.000Z,MoneyDJ新聞 2017-02-24 13:48:36 記者 蔡承啟 報導東芝(Toshiba)曾於1月27日宣佈，以NAND型快閃記憶體(Flash Memory)為主軸的記憶體事業(含SSD事業、不含影像感測器)將分拆出去、成立一家半導體新公司。
2017-03-03T03:51:00.000Z,MoneyDJ新聞 2017-03-03 11:51:37 記者 蔡承啟 報導日本電玩大廠任天堂(Nintendo)新款遊戲機「Nintendo Switch」於今日(3日)正式開賣，其中在日本市場部分，除了之前已預購的消費者可於今日至家電量販店取貨之外，部分家電量販店也備有現貨、讓沒預購的消費者可現場購賣，而備有現貨的門市也湧現排隊人龍搶購，激勵任天堂股價大漲。
2017-02-24T05:48:00.000Z,MoneyDJ新聞 2017-02-24 13:48:36 記者 蔡承啟 報導東芝(Toshiba)曾於1月27日宣佈，以NAND型快閃記憶體(Flash Memory)為主軸的記憶體事業(含SSD事業、不含影像感測器)將分拆出去、成立一家半導體新公司。
2017-03-03T03:51:00.000Z,MoneyDJ新聞 2017-03-03 11:51:37 記者 蔡承啟 報導日本電玩大廠任天堂(Nintendo)新款遊戲機「Nintendo Switch」於今日(3日)正式開賣，其中在日本市場部分，除了之前已預購的消費者可於今日至家電量販店取貨之外，部分家電量販店也備有現貨、讓沒預購的消費者可現場購賣，而備有現貨的門市也湧現排隊人龍搶購，激勵任天堂股價大漲。
2017-03-08T03:49:00.000Z,MoneyDJ新聞 2017-03-08 11:49:40 記者 蔡承啟 報導鴻海(2317)董事長郭台銘日前表示，非常有誠意、也非常有信心入股東芝(Toshiba)計畫分拆出去的半導體事業新公司。
2017-03-08T02:03:00.000Z,MoneyDJ新聞 2017-03-08 10:03:35 記者 蔡承啟 報導蘋果(Apple)預計今年(2017年)推出的OLED版iPhone「iPhone 8」據傳將具備臉部辨識功能。
2017-03-10T04:21:00.000Z,"MoneyDJ新聞 2017-03-10 12:21:39 記者 蔡承啟 報導日本遊戲產業市調機構Media Create 10日公布統計數據指出，於3月3日開賣的任天堂(Nintendo)新款遊戲機「Nintendo Switch」上週(2月27日-3月5日、Switch開賣首週)日本銷售量達32萬9,152台，開賣首週(實際統計時間為3月3-5日的3天)的銷售表現約略持平於Wii和Wii U。"
2017-03-12T23:31:00.000Z,MoneyDJ新聞 2017-03-13 07:31:32 記者 蔡承啟 報導南韓三星電子即將推出的旗艦機種Galaxy S8背負著重振因Note 7爆炸召回而重挫的品牌形象的重責大任。
2017-03-14T01:54:00.000Z,MoneyDJ新聞 2017-03-14 09:54:28 記者 蔡承啟 報導蘋果(Apple)今年的春季新品發表會日前傳出將訂在4月4日，不過根據熟知供應鏈消息的分析師透露，不用等到4月份、蘋果在下週(3月20-24日當週)就會發表新產品。
2017-03-15T02:46:00.000Z,MoneyDJ新聞 2017-03-15 10:46:51 記者 蔡承啟 報導日本最大總合遊戲情報網站4Gamer.net 14日報導，根據遊戲相關研究調查機構SuperData Research公布的資料顯示，任天堂(Nintendo)新款遊戲機「Nintendo Switch」開賣首週(2月27日-3月5日)全球銷售量達150萬台。
2017-03-24T05:07:00.000Z,MoneyDJ新聞 2017-03-24 13:07:16 記者 蔡承啟 報導南韓三星電子通常會在1年內推出2款旗艦智慧手機產品，分別為上半年推出Galaxy S系列機種、下半年推出Galaxy Note系列機種，不過因去年(2016年)下半年推出的Galaxy Note 7連環爆、最終被賜死停產停售，讓三星去年僅剩1款旗艦機Galaxy S7系列單打獨鬥，結果讓2016年全球前10大暢銷智慧手機產品中、蘋果(Apple)iPhone產品歡喜拿下前4名的名次。
2017-03-23T23:30:00.000Z,MoneyDJ新聞 2017-03-24 07:30:42 記者 蔡承啟 報導東芝(Toshiba)以NAND型快閃記憶體(Flash Memory)為主軸的記憶體事業(含SSD事業、不含影像感測器)將分拆出去成立新公司「東芝記憶體(Toshiba Memory)」，且東芝計畫出售「東芝記憶體」過半數股權。
2017-03-27T01:56:00.000Z,MoneyDJ新聞 2017-03-27 09:56:36 記者 蔡承啟 報導中國智慧手機廠佰利(Baili)去年控告蘋果(Apple)iPhone 6/6 Plus外觀設計抄襲該公司智慧手機「100c」的設計，而北京市知識產權局去年6月裁定iPhone 6系列侵權、且發出禁售令。
2017-03-30T06:08:00.000Z,MoneyDJ新聞 2017-03-30 14:08:33 記者 蔡承啟 報導東芝(Toshiba)以NAND型快閃記憶體(Flash Memory)為主軸的半導體事業第一次招標在昨日(3月29日)截止，據悉包含鴻海(2317)、台積電(2330)在內總計有約10家企業參與競標。
2017-03-30T01:29:00.000Z,MoneyDJ新聞 2017-03-30 09:29:42 記者 蔡承啟 報導東芝(Toshiba)以NAND型快閃記憶體(Flash Memory)為主軸的半導體事業第一次招標在昨日(3月29日)截止，據悉有約10家企業/基金參與競標。
2017-03-29T23:39:00.000Z,MoneyDJ新聞 2017-03-30 07:39:07 記者 蔡承啟 報導東芝(Toshiba)以NAND型快閃記憶體(Flash Memory)為主軸的半導體事業第一次招標在昨日(3月29日)截止，但對東芝來說，昨日是一個「悲慘」的日子。
2017-03-30T23:30:00.000Z,MoneyDJ新聞 2017-03-31 07:30:38 記者 蔡承啟 報導東芝(Toshiba)以NAND型快閃記憶體(Flash Memory)為主軸的半導體事業第一次招標在3月29日截止，據悉包含鴻海(2317)、台積電(2330)在內總計有約10家企業參與競標。
2017-03-30T23:30:00.000Z,MoneyDJ新聞 2017-03-31 07:30:38 記者 蔡承啟 報導東芝(Toshiba)以NAND型快閃記憶體(Flash Memory)為主軸的半導體事業第一次招標在3月29日截止，據悉包含鴻海(2317)、台積電(2330)在內總計有約10家企業參與競標。
2017-03-30T06:08:00.000Z,MoneyDJ新聞 2017-03-30 14:08:33 記者 蔡承啟 報導東芝(Toshiba)以NAND型快閃記憶體(Flash Memory)為主軸的半導體事業第一次招標在昨日(3月29日)截止，據悉包含鴻海(2317)、台積電(2330)在內總計有約10家企業參與競標。
2017-04-04T22:22:00.000Z,MoneyDJ新聞 2017-04-05 06:22:17 記者 蔡承啟 報導蘋果(Apple)預計今年(2017年)開賣的新款iPhone盛傳將有3款，包含4.7吋iPhone 7s、5.5吋iPhone 7s Plus，以及一款搭載OLED面板的高階版iPhone(以下暫稱iPhone 8)。
2017-04-07T04:38:00.000Z,"MoneyDJ新聞 2017-04-07 12:38:58 記者 蔡承啟 報導日本遊戲產業市調機構Media Create 7日公布統計數據指出，上週(3月27日-4月2日)日本整體遊戲機銷售量較前一週(3月13-19日)減少25%至12.0萬台，其中任天堂(Nintendo)新款遊戲機「Nintendo Switch」銷售量驟減4成(減少42%)至4萬5,509台。"
2017-04-12T02:08:00.000Z,MoneyDJ新聞 2017-04-12 10:08:36 記者 蔡承啟 報導三星電子新旗艦機Galaxy S8系列機種(S8+S8 Plus)在南韓人氣超夯，繼日前傳出預購2天的訂單達55萬支、銷售速度為前代機種S7的5.5倍之後，最新韓媒報導指出，S8系列機種南韓人氣超乎預期、庫存短缺。
2017-04-11T23:21:00.000Z,MoneyDJ新聞 2017-04-12 07:21:33 記者 蔡承啟 報導蘋果(Apple)最近愛上「自行研發」？繼日前傳出蘋果將自行研發GPU、引發供應商Imagination Technologies股價一度崩跌，最新又傳出蘋果正在自行研發iPhone用省電晶片、而消息一出也拖累供應商戴樂格半導體有限公司(Dialog Semiconductor plc)股價一度慘跌逾30%。
2017-04-17T02:30:00.000Z,"MoneyDJ新聞 2017-04-17 10:30:54 記者 蔡承啟 報導日經新聞14日報導，日本家用電玩市場已出現復甦跡象，根據日本電玩專門雜誌Famitsu指出，2016年度(2016年4月-2017年3月)日本家用電玩市場規模(包括遊戲主機及遊戲軟體銷售額)年增2%至3,184億日圓，為4年來首度呈現增長。"
2017-04-17T23:42:00.000Z,MoneyDJ新聞 2017-04-18 07:42:07 記者 蔡承啟 報導蘋果(Apple)即將在今年(2017年)推出的新款iPhone盛傳將有3款，其中2款為搭載液晶面板、為現行iPhone 7/iPhone 7 Plus的升級版機種iPhone 7s/iPhone 7s Plus，1款為搭載OLED面板、定位為高階款機種的iPhone 8(或有稱為iPhone Edition、iPhone X)。
2017-04-18T23:00:00.000Z,MoneyDJ新聞 2017-04-19 07:00:33 記者 蔡承啟 報導三星電子最新旗艦機種Galaxy S8系列(S8+S8 Plus)南韓人氣爆棚，果真如三星無線事業部長高東真日前所言、預購訂單衝破百萬支大關。
2017-04-24T02:25:00.000Z,"MoneyDJ新聞 2017-04-24 10:25:33 記者 蔡承啟 報導Sony 21日於日股盤後發布新聞稿宣布，因除了零組件部門之外，半導體、金融等其他部門業績皆優於預期，故上年度(2016年度、2016年4月-2017年3月)合併營益目標自原先(2月份)預估的2,400億日圓上修至2,850億日圓，合併純益目標自260億日圓大幅上修至730億日圓，合併營收目標則維持於原先預估的7.6兆日圓不變。"
2017-04-25T01:31:00.000Z,MoneyDJ新聞 2017-04-25 09:31:30 記者 蔡承啟 報導三星旗艦智慧手機Galaxy S8系列(S8+S8 Plus)於4月7日在南韓開放預購後、11天(截至4月17日)的預購訂單衝破百萬支、破紀錄。
2017-04-26T02:44:00.000Z,MoneyDJ新聞 2017-04-26 10:44:30 記者 蔡承啟 報導三星電子於3月27日宣布將販售Galaxy Note 7的翻新機(refurbished phone)，不過販售的市場和時間未定。
2017-04-26T00:44:00.000Z,MoneyDJ新聞 2017-04-26 08:44:24 記者 蔡承啟 報導盛傳蘋果(Apple)今年將發布三款新iPhone，其中一款搭載OLED面板，而據傳三星電子旗下的Samsung Display獨吃iPhone的OLED面板訂單，且因蘋果不熟悉OLED，故三星將主導OLED版iPhone供應鏈。
2017-04-26T02:44:00.000Z,MoneyDJ新聞 2017-04-26 10:44:30 記者 蔡承啟 報導三星電子於3月27日宣布將販售Galaxy Note 7的翻新機(refurbished phone)，不過販售的市場和時間未定。
2017-04-26T00:44:00.000Z,MoneyDJ新聞 2017-04-26 08:44:24 記者 蔡承啟 報導盛傳蘋果(Apple)今年將發布三款新iPhone，其中一款搭載OLED面板，而據傳三星電子旗下的Samsung Display獨吃iPhone的OLED面板訂單，且因蘋果不熟悉OLED，故三星將主導OLED版iPhone供應鏈。
2017-05-12T02:36:00.000Z,MoneyDJ新聞 2017-05-12 10:36:14 記者 蔡承啟 報導日本矽晶圓巨擘SUMCO 11日於日股盤後公布上季(2017年1-3月)財報：合併營收較去年同期大增16.3%至601.95億日圓、合併營益暴增123.3%至80.67億日圓、合併純益也暴增129.3%至36.13億日圓。
2017-05-16T06:00:00.000Z,MoneyDJ新聞 2017-05-16 14:00:22 記者 蔡承啟 報導日本智慧手機情報網站blog of mobile 16日轉述韓媒亞洲經濟的報導指出，南韓三星電子計畫在今年8月於中國市場開賣採用雙鏡頭相機設計的Galaxy C10系列(C10和C10+)智慧手機產品。
2017-05-16T02:04:00.000Z,"MoneyDJ新聞 2017-05-16 10:04:26 記者 蔡承啟 報導全球再生晶圓大廠RS Technologies 15日於日股盤後公布上季(2017年1-3月)財報：因記憶體、矽晶圓價格走揚，推升再生晶圓需求持續旺盛，激勵合併營收較去年同期大增49%至25.52億日圓、合併營益飆增388%至7.33億日圓、經常利益(本業獲利+業外獲利)狂飆36倍(增加3,576%)至9.19億日圓。"
2017-05-18T03:52:00.000Z,MoneyDJ新聞 2017-05-18 11:52:34 記者 蔡承啟 報導日本遊戲新聞網站IGN Japan 18日報導，根據NPD Group公布的資料顯示，任天堂「Nintendo Switch」為4月份美國最暢銷的家庭(桌上型)遊戲機產品，銷售量達約28萬台，連續第2個月超越Sony PS4、微軟(Microsoft)Xbox One居冠。
2017-05-26T05:43:00.000Z,"MoneyDJ新聞 2017-05-26 13:43:15 記者 蔡承啟 報導日本媒體四季報Online 26日報導，摩根士丹利MUFG證券(Morgan Stanley MUFG Securities)於25日提出的報告中，將任天堂(Nitendo)投資評等維持於「over-weight(加碼)」不變，將目標價從原先的33,000日圓調升至38,000日圓。"
2017-06-09T02:49:00.000Z,MoneyDJ新聞 2017-06-09 10:49:01 記者 蔡承啟 報導三星電子旗艦智慧手機Galaxy S8/S8+在正式亮相前，一度傳出可能會將指紋辨識感測器內嵌於螢幕下方，只是最終該傳聞未能實現，S8指紋感測器放在一個非常奇妙的位置「主相機旁邊」。
