PublishDate,Sentence
2018-01-30T10:50:00.000Z,（中央社記者吳家豪台北2018年1月30日電）代工廠緯創 (3231) 集團旗下建?? (3046) 晚間發布重大訊息，配合股東臨時會董事全面改選，由董事會推選電腦品牌廠宏?? (2353) 董事長暨執行長陳俊聖擔任建?硌釣?齱C建?痐竣捘|辦股東臨時會並改選董事，新任董事包括陳俊聖、緯創幕僚長林福謙、宏?硍竟搰鴔犐?~群總經理施宣輝、宏?祤?嚃膆雰?~群總經理簡慧祥、智星股份有限公司、建?祫`經理蔡文鋒；新任獨立董事包括泰宗生物科技公司獨立董事郭永祿、美盛醫電公司董事長張垂弘、台積電 (2330) 資深副總經理暨資訊長左大川。
2018-01-31T02:06:00.000Z,  18.宏碁 (2353) ：入主建碁、看好今年拚轉盈，且消費性筆電在美市占優，早盤帶量彈升逾2.5%。
2018-01-31T02:06:00.000Z,  24.建碁 (3046) ：宏碁正式入主，今年挑戰轉盈，激勵股價早盤觸及漲停。
2018-01-31T02:06:00.000Z,  18.宏碁 (2353) ：入主建碁、看好今年拚轉盈，且消費性筆電在美市占優，早盤帶量彈升逾2.5%。
2018-01-31T02:06:00.000Z,  24.建碁 (3046) ：宏碁正式入主，今年挑戰轉盈，激勵股價早盤觸及漲停。
2018-10-29T09:09:00.000Z,華為今(29)日舉辦下半年旗艦機Hauwei Mate20新機發表會，不僅有5家電信業者中華電 (2412) 、台灣大 (3045) 、遠傳 (4904) 、亞太電 (3682) 以及台灣之星強勢站台，台灣一線大廠品牌供應鏈一字排開站台，除大立光 (3008) 董事長林恩舟以及矽品董事長林文伯外，還有台積電 (2330) 、億光 (2392) 、精元 (2387) 、欣興 (3037) 、華通 (2313) 、嘉聯益 (6153) 、華晶科 (3046) 、晶技 (3042) 等大廠，針對美中貿易戰，林恩舟直言，今年還看不明顯，擔心明年狀況。
2019-04-08T07:27:00.000Z, 今日集中市場十大漲幅個股為：晶電 (2448) 漲9.96%、訊芯-KY (6451) 漲9.96%、建碁 (3046) 漲9.96%、力銘 (3593) 漲9.95%、泰碩 (3338) 漲9.93%、永冠-KY (1589) 漲9.91%、麗清 (3346) 漲9.88%、麗臺 (2465) 漲9.87%、艾笛森 (3591) 漲9.86%、美隆電 (2477) 漲9.82%。
2019-04-23T02:07:00.000Z, 26.建碁 (3046) ：助攻宏碁拚雲事業轉盈，營運可望吃香，昨外資買超敲進，股價逆勢走揚逾3%，一度觸及29.95元。
2019-07-10T02:11:00.000Z, 6.建碁 (3046) ：6月營收年增逾53％，H1營收年增逾36％，今日開盤45分鐘內，即爆出7百餘張成交量，股價觸及漲停25.3元。
2019-08-22T02:17:00.000Z, 10.建碁 (3046) ：H1每股盈餘創7年新高，H2營運續拚向上增長，晨盤強反彈漲逾4%，重返5日線。
2019-10-09T02:13:17.000Z,"
22.建碁 (3046) ：9月營收年增37.48%、月增65.29%，推升晨盤漲逾4%。"
2019-12-24T02:58:00.000Z,昨天大拉尾盤的台積電今天早盤在平盤上下狹幅震盪休息，改由股王大立光 (3008) 表演，並帶動光學股續領風騷，玉晶光 (3046) 、亞光 (3019) 續強，特斯拉概念股也在特斯拉（Tesla）股價大漲下同慶。
