PublishDate,Sentence
2017-03-02T00:48:00.000Z,4.電子股：電子指數週三以下跌3.88點的390.22點作收，將回測月線；週三較強的電子股包括:  IC設計的3014聯陽、8096擎亞、3259鑫創、6415矽力-KY、6138茂達、6411晶焱、3094聯傑、2436偉詮電；IC製造的2337旺宏、2338光罩、5347世界；封測的3567逸昌、6257矽格、3264欣銓、3374精材；資訊服務的3029零壹、6214精誠、2427三商電、2480敦陽科；IPC的3416融程電、3088艾訊、3479安勤、8050廣積、3022威強電；電源相關的3078僑威、6412群電；被動元件的2492華新科、2327國巨、2375智寶、3026禾伸堂；PCB的6141柏承、3044健鼎、5439高技…等。
2017-03-02T00:48:00.000Z,4.電子股：電子指數週三以下跌3.88點的390.22點作收，將回測月線；週三較強的電子股包括:  IC設計的3014聯陽、8096擎亞、3259鑫創、6415矽力-KY、6138茂達、6411晶焱、3094聯傑、2436偉詮電；IC製造的2337旺宏、2338光罩、5347世界；封測的3567逸昌、6257矽格、3264欣銓、3374精材；資訊服務的3029零壹、6214精誠、2427三商電、2480敦陽科；IPC的3416融程電、3088艾訊、3479安勤、8050廣積、3022威強電；電源相關的3078僑威、6412群電；被動元件的2492華新科、2327國巨、2375智寶、3026禾伸堂；PCB的6141柏承、3044健鼎、5439高技…等。
2017-04-11T03:21:00.000Z,鴻海 (2317) 3月營收3416.9億元，月增18%，年增0.6%，連續4個月正成長，股價最高97.6元，上漲1.13%；台塑四寶首季合計大賺550.63億元，年增95%，帶動塑化股在台股翻黑之際仍能上漲0.5%。
2017-04-11T02:54:00.000Z,鴻海3月營收達3416.9億元，月增18%、年增0.6%，連續四個月呈現年成長，是導入IFRS以來歷年同期新高，市場並傳出鴻海擬砸3兆日圓買東芝晶片事業，早盤股價開高後小漲約0.6%，盤中最高達97.6元。
2018-01-07T06:19:00.000Z,　另外，本周較重要的活動還有國內外法說會，國內法說會有融程電、時碩、必應等，而台達電、神隆、聯發科、可成、國巨、南茂、浩鼎、中天、合一、泉盛、台微體、亞獅康-KY等10餘家公司，本周則排定有海外說明會行程，相關法說內容也將牽動個股行情。
2018-08-06T06:59:00.000Z,融程電 (3416) 第二季合併營收登近2年半高點，帶動上半年營收年增14.52%、創同期新高，下半年動能可望持續增溫，股價在買盤敲進下放量勁揚觸及58.7元，創下去年8月初以來1年半的波段高點。
2019-06-18T00:25:00.000Z,自2019年06月18日起至2019年06月21日暫停融券賣出四個營業日的證券如下：(1707)葡萄王、(1711)永光、(1906)寶隆、(2107)厚生、(2330)台積電、(2722)夏都、(2727)王品、(3048)益登、(3416)融程電、(4722)國精化、(6024)群益期、(6164)華興、(6641)基士德-KY。
2019-06-21T09:07:00.000Z,"108年6月24日除息影響加權股價指數108年6月24日計1707葡萄王、1711永光、1906寶隆、2107厚生、2330台積電、2722夏都、2727王品、3048益登、3416融程電、4722國精化、6024群益期、6164華興、6641基士德-KY等13檔股票除息交易，其中台積電發行市值將減少約2,074億元，占發行量加權股價指數約69.3點，前述13檔指數採樣股票除息後，減少市值占發行量加權股價指數約70.3點。"
2019-06-24T07:04:00.000Z,其中：台積電 (2330) 收漲0.21%、永光 (1711) 收漲0.91%、寶隆 (1906) 收漲1.15%、厚生 (2107) 收漲2.32%、夏都 (2722) 收漲2.64%、王品 (2727) 收漲0.75、益登 (3048) 收漲1.93%、國精化 (4722) 收漲0.71%、群益期 (6024) 收漲1.58%；華興 (6164) 收跌0.14%、葡萄王 (1707) 收跌0.47%、融程電 (3416) 收跌0.76%；基士德-KY (6641) 則持平。
2020-04-06T01:50:06.000Z,與會的廠商包括:台泥、葡萄王、群光、精元、國泰金、新光金、泰碩、融程電、嘉澤、氣立、材料-KY、南寶、聯嘉、旭隼、矽力-KY、仁新、勤誠、富邦媒、億豐、商億-KY、成霖、世紀鋼、穩懋、雙鴻、中裕、中美晶、晶焱、藥華藥、環球晶、群聯、光隆、森鉅、伊雲谷等。
2021-07-16T01:13:35.000Z,※券商推薦股：台積電(1)、中鋼(1)、融程電(1)、雙鴻(1)、智易(1)、精華(1)、欣興(1)、聯茂(1)、萬海(1)、長榮(1)。
2021-07-16T01:13:35.000Z,台積電、中鋼、陽明、融程電。
