PublishDate,Sentence
2017-02-22T04:07:00.000Z,電腦周邊相關包含浩鑫亮燈漲停，鎧勝 - KY、神基等股價也大漲逾 4%，另外力致、事欣科、捷元、艾訊、緯創、和碩、致伸等，股價都上漲逾 1%。
2017-07-11T06:46:00.000Z,工業電腦廠研華 (2395) 、事欣科 (4916) 在績優題材激勵下，股價雙雙放量勁揚，領漲工業電腦(IPC)族群於填權息路上前行。
2017-10-17T06:50:00.000Z,  題材股各自表現，工業電腦廠事欣科 (4916) 受惠於認列工具機廠恩德 (1528) 挹注，2017年9月營收雖較8月下滑，仍較去年同期倍增，帶動第三季合併營收連2季寫新高，今日量價齊揚，收漲3.5%，成為領漲工業電腦族群的主力。
2017-11-30T02:02:00.000Z,  8.事欣科 (4916) ：奪美國國防5年大單，明年上半年出貨，營運可望衝鋒，激勵早盤直跳漲停板，衝上35.1元。
2017-12-01T02:11:00.000Z,  7.事欣科 (4916) ：美國國防肥單到手，早盤再拉第二根漲停達38.6元，續創波段新高價。
2017-11-30T02:02:00.000Z,  8.事欣科 (4916) ：奪美國國防5年大單，明年上半年出貨，營運可望衝鋒，激勵早盤直跳漲停板，衝上35.1元。
2017-12-01T02:11:00.000Z,  7.事欣科 (4916) ：美國國防肥單到手，早盤再拉第二根漲停達38.6元，續創波段新高價。
2018-08-15T02:02:00.000Z, 14.事欣科 (4916) ：Q2營運躍升，寫三率三升，Q3業績再戰新高，股價漲逾2%，站上60日線。
2018-11-13T02:08:00.000Z, 8.事欣科 (4916) ：前3季營運創4高，早盤逆勢走揚逾2.5%，登逾1個月高價。
2019-03-15T07:09:00.000Z,而高殖利率、財報喜訊股也獲投資人傾心，事欣科 (4916) 、貿聯 (3665) 、聯茂 (6213) 、基士德-KY (6641) 、信錦 (1582) 、運錩 (2069) 股價皆喜孜孜。
2019-03-15T03:05:00.000Z, 高股利、年報績優等題材股搶鏡，包括有神盾 (6462) 去年每股賺9.62元，擬配息8.1元，今大漲逾7.5%，被動元件兩大指標國巨 (2327) 擬配息45元，殖利率約13%，奇力新則是去年每股賺11.85元，每股擬配息8元，今股價雙雙大漲，事欣科 (4916) 也在財報、股利雙利多催化下，股價大逾4%波段新高。
2019-04-17T02:08:00.000Z, 12.事欣科 (4916) ：中壢廠房售予廣錠，獲利約2億4880萬元，估挹注EPS 3.03元，推升股價衝漲逾4%，登39元波段高價。
2019-09-11T07:07:01.000Z,上月營收或後市營運看佳個股，營收創高的宏致 (3605) 飆上漲停板，事欣科 (4916) 、信大 (1109) 、威宏-KY (8442) 、虹堡 (5258) 、台泥 (1101) 、皇普 (2528) 、眾達-KY (4977) 、祥碩 (5269) 等股價皆喜孜孜。
2019-09-11T07:07:00.000Z,上月營收或後市營運看佳個股，營收創高的宏致 (3605) 飆上漲停板，事欣科 (4916) 、信大 (1109) 、威宏-KY (8442) 、虹堡 (5258) 、台泥 (1101) 、皇普 (2528) 、眾達-KY (4977) 、祥碩 (5269) 等股價皆喜孜孜。
2019-10-09T02:13:17.000Z,"
17.事欣科 (4916) ：9月、Q3營收齊登歷史第3高，Q3獲利亦看俏，早盤走揚漲近2%。"
2019-10-24T07:05:44.000Z,今日外資(不含外資自營商)買超147.758億元，投信買超1.4916億元，自營商買超13.9814億元，三大法人買超163.23億元。
2019-10-24T07:05:00.000Z,今日外資(不含外資自營商)買超147.758億元，投信買超1.4916億元，自營商買超13.9814億元，三大法人買超163.23億元。
2019-11-13T02:11:24.000Z,"
12.事欣科 (4916) ：Q3、前3季獲利齊登峰，外資昨亦加碼買超，並辦理註銷庫藏股、擬減資0.74%，惟股價漲多回檔，下挫逾5%。"
2019-11-13T02:11:00.000Z, 12.事欣科 (4916) ：Q3、前3季獲利齊登峰，外資昨亦加碼買超，並辦理註銷庫藏股、擬減資0.74%，惟股價漲多回檔，下挫逾5%。
2020-03-09T02:21:00.000Z,  22.事欣科 (4916) ：出貨暢旺，2月營收月增17.05%、年增13.34%，早盤一度逆勢上揚逾6%。
2020-03-16T00:31:06.000Z,"
3.事欣科 （4916） ：去年獲利創高，每股賺4.02元。"
