PublishDate,Sentence
2016-12-30T07:01:00.000Z,POS廠虹堡 (5258) 今以每股39.45元上市，開盤股價上漲14%，尾盤漲幅收斂至6.34%。
2019-03-27T02:11:00.000Z, 12.虹堡 (5258) ：提列信用減損拖累，去年每股轉虧4.97元，股價一度重挫逾3.5%，跌至13元短波低點。
2019-03-27T02:11:00.000Z, 12.虹堡 (5258) ：提列信用減損拖累，去年每股轉虧4.97元，股價一度重挫逾3.5%，跌至13元短波低點。
2019-04-11T07:09:00.000Z,而財報傳喜訊個股多有漲風，東台 (4526) 、虹堡 (5258) 強收鎖漲停，強茂 (2481) 、合勤控 (3704) 、新日興 (3376) 亦觸及漲停，今起恢復交易的千興 (2025) 也一度登上漲停板，其他報喜個股如麗清 (3346) 、永冠-KY (1589) 、虹揚-KY (6573) 、辛耘 (3583) 、瑞昱 (2379) 、所羅門 (2359) 、泰碩 (3338) 、華新科 (2492) 、欣興 (3037) 、動力-KY (6591) 、新美齊 (2442) 、燦星網 (4930) 、長榮海 (2603) 、富邦媒 (8454) 、再生-KY (1337) 、可成 (2474) 齊力挺多頭，股價雀躍。
2019-04-17T02:08:00.000Z, 13.虹堡 (5258) ：上月每股盈餘0.18元，Q1可望轉盈，不懼列入警示股，外資連3日敲進，早盤躍上21元漲停板。
2019-06-11T07:11:00.000Z,5月營收告捷股，鈺齊-KY (9802) 飆15個月來新高價，虹堡 (5258) 亦攻上17個月新高價，冠德 (2520) 創波段高價，其他個股如廣達 (2382) 、永冠 (1589) 、雲品 (2748) 、樺漢 (6414) 、中租-KY (5871) 、十銓 (4967) 、易華電 (6552) 、晶心科 (6533) 皆獲「股漲」。
2019-07-08T07:22:21.000Z,"
今日集中市場漲幅前10名為:吉祥全 (2491) 漲9.99%、星通 (3025) 漲9.93%、鼎炫-KY (8499) 漲9.90%、茂林-KY (4935) 漲9.52%、欣巴巴 (9906) 漲9.22%、羅麗芬 (6666) 漲8.85%、佳能 (2374) 漲8.75%、中化生 (1762) 漲8.45%、虹堡 (5258) 漲7.75%、台表科 (6278) 漲7.13%。"
2019-07-08T07:22:00.000Z, 今日集中市場漲幅前10名為:吉祥全 (2491) 漲9.99%、星通 (3025) 漲9.93%、鼎炫-KY (8499) 漲9.90%、茂林-KY (4935) 漲9.52%、欣巴巴 (9906) 漲9.22%、羅麗芬 (6666) 漲8.85%、佳能 (2374) 漲8.75%、中化生 (1762) 漲8.45%、虹堡 (5258) 漲7.75%、台表科 (6278) 漲7.13%。
2019-09-11T07:07:01.000Z,上月營收或後市營運看佳個股，營收創高的宏致 (3605) 飆上漲停板，事欣科 (4916) 、信大 (1109) 、威宏-KY (8442) 、虹堡 (5258) 、台泥 (1101) 、皇普 (2528) 、眾達-KY (4977) 、祥碩 (5269) 等股價皆喜孜孜。
2019-09-11T07:07:00.000Z,上月營收或後市營運看佳個股，營收創高的宏致 (3605) 飆上漲停板，事欣科 (4916) 、信大 (1109) 、威宏-KY (8442) 、虹堡 (5258) 、台泥 (1101) 、皇普 (2528) 、眾達-KY (4977) 、祥碩 (5269) 等股價皆喜孜孜。
2019-10-15T06:22:00.000Z,　包括半導體在內的電子類股個股，今日以華擎及TPK-KY漲停最受矚目，另精元、聯陽、茂林-KY、銘旺科、中揚光、承啟、科嘉-KY、眾達-KY等，股價均大漲6～9％以上，另奇力新、洋華、美隆電、GIS-KY、合勤控、嘉澤、騰輝電子-KY、虹堡、瀚宇博、精英、泰鼎-KY、偉詮電、智邦、晶彩科、鎧勝-KY、強茂、動力-KY、凌巨、牧德等均上漲3～6％之間。
2020-03-02T02:23:09.000Z,"
28.虹堡 (5258) ：外資持續賣超，股價難掩頹勢、續跌逾4.5%。"
2020-03-02T02:23:00.000Z,  28.虹堡 (5258) ：外資持續賣超，股價難掩頹勢、續跌逾4.5%。
2020-03-02T02:23:09.000Z,"
28.虹堡 (5258) ：外資持續賣超，股價難掩頹勢、續跌逾4.5%。"
2020-03-02T02:23:00.000Z,  28.虹堡 (5258) ：外資持續賣超，股價難掩頹勢、續跌逾4.5%。
