PublishDate,Sentence
2017-06-29T00:58:00.000Z,4.網路通訊拉回修正，智邦 (2345) 、明泰 (3380) 、台揚 (2314) 、互億 (6172) 等下跌。
2019-07-26T07:03:43.000Z,"
美股大跌，台股攻萬一關卡受阻，三王順勢拉回休息，台積電 (2330) 雖外資買超5日計61722張，但今天持續回檔，收跌1.51%。"
2019-07-26T07:03:00.000Z, 美股大跌，台股攻萬一關卡受阻，三王順勢拉回休息，台積電 (2330) 雖外資買超5日計61722張，但今天持續回檔，收跌1.51%。
2019-09-25T02:06:01.000Z,"
27.互億 (6172) ：股價連2日拉出長紅K線，昨外資亦終止連4日賣超，晨盤下跌逾5.5%。"
2019-09-25T02:06:00.000Z, 27.互億 (6172) ：股價連2日拉出長紅K線，昨外資亦終止連4日賣超，晨盤下跌逾5.5%。
2019-10-07T09:14:29.000Z,"證交所公告今日單一證券鉅額成交，股票名稱：
1.互億 (6172) ：每股成交價20元，成交量60萬股，成交金額1200萬元。"
2019-10-09T09:13:57.000Z,"證交所公告今日單一證券鉅額成交，股票名稱：
1.互億 (6172) ：每股成交價20元，成交量52萬5000股，成交金額1050萬元。"
2019-10-14T09:20:02.000Z,"
2.互億 (6172) ：每股成交價20元，成交量60萬股，成交金額1200萬元。"
2019-10-25T09:11:18.000Z,"證交所公告今日單一證券鉅額成交，股票名稱：
1.互億 (6172) ：每股成交價20元，成交量52萬5000股，成交金額1050萬元。"
2019-11-05T02:14:00.000Z, 18.互億 (6172) ：擁WiFi 6題材，外資連3日買超，早盤人氣不滅，股價續漲近3.5%。
2019-11-14T02:12:11.000Z,"
26.互億 (6172) ：前三季獲利年增54.72%，每股賺0.29元，晨盤上攻逾3.5%。"
2019-11-14T02:12:00.000Z, 26.互億 (6172) ：前三季獲利年增54.72%，每股賺0.29元，晨盤上攻逾3.5%。
2019-11-15T02:09:10.000Z,"
16.互億 (6172) ：財報利多，昨外資再度轉買超，早盤漲逾7%，一度觸及22.45元漲停價，衝上波段新高價。"
2019-11-15T02:09:00.000Z, 16.互億 (6172) ：財報利多，昨外資再度轉買超，早盤漲逾7%，一度觸及22.45元漲停價，衝上波段新高價。
