PublishDate,Sentence
2017-03-20T06:58:00.000Z,台股萬點前買盤觀望，今日在士紙 (1903) 、榮成 (1909) 、台玻 (1802) 等傳產股及大立光 (3008) 、玉晶光 (3406) 及新鉅科 (3630) 等光學元件族群走弱下，拖累指數開低震盪，盤中失守9900點、並一度回測9869點，惟多頭點火台郡 (6269) 、可成 (2474) 、和碩 (4938) 等蘋概股，和台燿 (6274) 、台勝科 (3532) 、威剛 (3260) 及健策 (3653) 等績優中小型股，帶動指數守穩9900點，尾盤買盤敲進台積電 (2330) 、國泰金 (2882) 等權值股，終場加權指數上漲4.28點為9912.97點，成交值縮至826.53億元。
2017-03-20T06:57:00.000Z,  台股成交量則因市場觀望氣氛轉濃，萎縮至900億元以下，終場加權股價指數為9912.97點，上漲4.28點，成交量為826.53億元；OTC指數為137.7點，上漲0.08點，成交量為337.29億元。
2017-03-20T06:57:00.000Z, 　就技術面來看，今天台股因萬點關卡前，漲多傳產股獲利了結賣壓出籠，指數以小黑開出，但逢低買盤不弱，尤其是具業績題材的中小型股續發威，帶動台股指數尾盤向上拉升收紅，終場上漲4.28點，以9912.97點作收，守住9900點關卡，再創2015年4月24日新高；上週台股在熱錢湧入下漲勢凌厲，除3月15日外均以紅K作收，指數連闖9700點、9800點、9900點3道整數關卡，也順利突破2月16日的前高，今天雖然台股指數全場多在平盤下震盪，但最後一盤再度向上拉抬收紅，顯示短線上多方攻勢尚未結束，由於台股指數連日走升，不僅化解了月線恐將反轉下彎的疑慮，也帶動原本下走的兩條短均重回上揚態勢，目前短中長期均線再度呈現多頭排列，配合量能回到千億元水準，加上指數已站上前高9869點，除非國際股市出現連番崩盤，或是熱錢退潮，此處可望轉為支撐，只要近日指數能守住9869點，且能持穩短均之上，後續多方創波段新高的機會甚大，不過，考量台股自3月10日低點9562點波段彈升已逾300點，短線漲幅不小，且目前指數相距萬點僅剩不到百點空間，儘管短多氣盛近日仍有機會再見高點，惟指數愈向上走，短線獲利及高檔調節壓力料將逐漸加重，因此就謹慎的心態上，仍應稍加留意高檔風險，並留意市場訊息以避免盤勢突有變化，若國際股市持穩，預估本週台股指數將在9900點上下250點震盪。
2017-03-20T06:00:00.000Z,加權股價指數終場上漲4.28點、漲幅0.04%，收在9912.97點，成交值新台幣826.52億元。
2018-10-23T02:38:00.000Z,川普揚言退出限武條約，美股昨夜跌多漲少，列強加強軍備風起，亞股嚇趴，今日亞股中的日韓股市早盤皆墨，台股11月台指期一開盤即下跌百餘點，金融、電子期亦開低，隨後集中市場跟跌62點、以9912.28點開出，店頭市場開低0.23點、以118.36點開出。
2018-11-07T06:46:00.000Z,　加權指數盤中最高上漲87.58點、觸及9912.53點，終場上漲83.4點、收於9908.35點，成交量小幅萎縮至1162.91億元。
2019-04-01T07:17:00.000Z,玉晶光 (3406) 漲9.99%、泰碩 (3338) 漲9.97%、星通 (3025) 漲9.94%、鴻海 (2317) 漲9.93%、悅城 (6405) 漲9.87%、偉聯 (9912) 漲9.85%、和鑫 (3049) 漲9.81%、新美齊 (2442) 漲9.76%、盛達 (3027) 漲9.63%、欣興 (3037) 漲9.12%。
2019-04-01T07:17:00.000Z,玉晶光 (3406) 漲9.99%、泰碩 (3338) 漲9.97%、星通 (3025) 漲9.94%、鴻海 (2317) 漲9.93%、悅城 (6405) 漲9.87%、偉聯 (9912) 漲9.85%、和鑫 (3049) 漲9.81%、新美齊 (2442) 漲9.76%、盛達 (3027) 漲9.63%、欣興 (3037) 漲9.12%。
2019-05-23T09:33:00.000Z,鴻海今天股價也是開低走低，終場收在71.5元，跌2.5元，跌幅3.38%，市值單日縮水346億元，跌破1兆元大關，滑落至9912億元。
2019-05-23T07:18:00.000Z,鴻海 (2317) 昨遭外資擴大賣超逾萬張，今爆大量走低收跌3.38%，同樣收在71.5元的當日最低價，創今年4月1日以來新低點，市值再度失守兆元關卡至9912億元。
