PublishDate,Sentence
2017-06-27T01:03:00.000Z,日期：2017年 6月27日※本日焦點股帛漢、聯合、鈺齊-KY、力成、矽格、宏益、晶焱、博智、力麒、智寶、威剛、燁輝、濱川、新光鋼、申豐、亞泰、仲琦、新產※昨日盤勢解析IHS  Markit 公佈歐盟的綜合採購經理人指數(PMI)自 56.8 下跌至 55.7，而市場仍擔憂油價步入熊市，週五西歐三大指數下跌。
2017-07-17T03:16:00.000Z,　上周四，台積電 (2330) 及大立光 (3008) 同步舉行法說會，內容卻差強人意，壓抑到上周五台股走勢，不過由於美股連兩天強勢創高，且外資未改變對台積電及大立光正面看法，加上上櫃股王—精測 (6510) 率先創高，中小型股強強滾，化解了台股下探的疑慮，今天台股指數在台積電及大立光回穩與上周五美股收高帶動下，今天以高盤開出，盤中富堡 (8929) 、康樂-KY (4154) 、系微 (6231) 等強攻漲停板，佳邦 (6284) 、祥碩 (5269) 、智邦 (2345) 、濱川 (1569) 、新光鋼 (2031) 、全新 (2455) 、益航 (2601) 、京鼎 (3413) 等中小型股走強，台股指數一度攻高至10490點，不過，上周創高的金融類股及觀光類股走弱，拖累台股指數，台股指數在中場過後緩步走弱，截至10點55分為止，加權股價指數為10459.98點，上漲16.07點，成交量為538.61億元；OTC指數為137.17點，上漲0.53點，成交量為152.95億元。
2019-11-05T02:14:00.000Z, 21.濱川 (1569) ：鍵盤金屬支架業務大反攻，外資連3日買超，股價跳空直飆26.2元漲停，強衝上波段新高價。
2019-11-20T02:16:07.000Z,"
33.濱川 (1569) ：蘋果香、財報亮，不畏外資連3日賣超，早盤強漲逾6.5%，衝上波段新高價。"
2019-11-20T02:16:00.000Z, 33.濱川 (1569) ：蘋果香、財報亮，不畏外資連3日賣超，早盤強漲逾6.5%，衝上波段新高價。
2019-12-03T04:05:35.000Z,其他電腦及周邊股如佳世達 (2352) 、宏碁 (2353) 、華碩 (2357) 、映泰 (2399) 、動力-KY (6591) 、濱川 (1569) 、磐儀 (3594) 、安鈦克 (6276) 、撼訊 (6150) 等個股也群攻上揚。
2019-12-03T04:05:35.000Z,其他電腦及周邊股如佳世達 (2352) 、宏碁 (2353) 、華碩 (2357) 、映泰 (2399) 、動力-KY (6591) 、濱川 (1569) 、磐儀 (3594) 、安鈦克 (6276) 、撼訊 (6150) 等個股也群攻上揚。
2020-02-05T07:16:50.000Z,武漢肺炎疫情升溫，大陸央行出手救市，市場預期中國政府將推出更多激勵措施來緩解疫情對經濟造成的衝擊，激勵周二美股強彈，那斯達克指數創下歷史新高，台積電ADR大漲逾5%，台股今日在護國神山台積電 (2330) 開高拉抬下，指數攻回11600點，惟因市場信心不足，股王大立光 (3008) 及被動元件族群國巨 (2327) 、華新科 (2492) 、禾伸堂 (3026) 遭賣壓調節同步翻黑下，指數漲點轉趨收斂，終場加權股價指數上漲17.7點為11573.62點，呈現連二揚，惟11600點得而復失，成交值為1569.65億元。
2020-02-05T07:16:00.000Z,武漢肺炎疫情升溫，大陸央行出手救市，市場預期中國政府將推出更多激勵措施來緩解疫情對經濟造成的衝擊，激勵周二美股強彈，那斯達克指數創下歷史新高，台積電ADR大漲逾5%，台股今日在護國神山台積電 (2330) 開高拉抬下，指數攻回11600點，惟因市場信心不足，股王大立光 (3008) 及被動元件族群國巨 (2327) 、華新科 (2492) 、禾伸堂 (3026) 遭賣壓調節同步翻黑下，指數漲點轉趨收斂，終場加權股價指數上漲17.7點為11573.62點，呈現連二揚，惟11600點得而復失，成交值為1569.65億元。
2020-02-05T06:38:00.000Z,全天成交金額約1569億元持續下降回穩中。
2020-03-25T09:17:40.000Z,"證交所公告今日單一證券鉅額成交，股票名稱：
1.達新 (1315) ：每股成交價45.35元，成交量34萬6000股，成交金額1569萬1100元。"
2021-06-19T05:30:05.000Z,篩選2021年仍未除息，且現金殖利率大於5％、近三年平均填息天數低於10日、第一季獲利與前五個月累計營收皆較2020年成長的個股共有16檔，包含茂林-KY、亞電、冠德、老爺知、圓展、科嘉-KY、凌網、中鋼構、良維、新日興、濱川、曜越、雙美、友輝、凌群及瑞儀。
