PublishDate,Sentence
2018-10-17T02:02:00.000Z, 9.磐儀 (3594) ：今起擬買回千張庫藏股，刺激股價跳空飆上21.2元漲停，重返10日線、20元關卡。
2019-08-20T02:07:00.000Z, 27.磐儀 (3594) ：物聯網雙箭並進，下半年業績可望逐步向上，股價續漲逾4%，突破所有短均上。
2019-12-03T04:05:35.000Z,其他電腦及周邊股如佳世達 (2352) 、宏碁 (2353) 、華碩 (2357) 、映泰 (2399) 、動力-KY (6591) 、濱川 (1569) 、磐儀 (3594) 、安鈦克 (6276) 、撼訊 (6150) 等個股也群攻上揚。
2019-12-03T04:05:35.000Z,其他電腦及周邊股如佳世達 (2352) 、宏碁 (2353) 、華碩 (2357) 、映泰 (2399) 、動力-KY (6591) 、濱川 (1569) 、磐儀 (3594) 、安鈦克 (6276) 、撼訊 (6150) 等個股也群攻上揚。
2020-01-02T02:18:01.000Z,"
27.磐儀 (3594) ：攻智慧醫療奪大廠訂單，今年營運進補，股價上攻逾2%。"
2020-01-02T02:18:00.000Z, 27.磐儀 (3594) ：攻智慧醫療奪大廠訂單，今年營運進補，股價上攻逾2%。
2020-01-02T02:18:01.000Z,"
27.磐儀 (3594) ：攻智慧醫療奪大廠訂單，今年營運進補，股價上攻逾2%。"
2020-01-02T02:18:00.000Z, 27.磐儀 (3594) ：攻智慧醫療奪大廠訂單，今年營運進補，股價上攻逾2%。
2020-01-07T02:10:02.000Z,"
5.磐儀 (3594) ：去年營收創新高，早盤飆升逾8.5%至25.3元，衝5個月高價。"
2020-01-07T02:10:00.000Z, 5.磐儀 (3594) ：去年營收創新高，早盤飆升逾8.5%至25.3元，衝5個月高價。
2020-04-09T09:19:02.000Z,"
4.台塑 (1301) ：每股成交價80.6元，成交量44萬6000股，成交金額3594萬7600元。"
2020-05-21T09:18:19.000Z,"
13.台積電 (2330) ：每股成交價297.07元，成交量12萬1000股，成交金額3594萬5470元。"
