PublishDate,Sentence
2019-09-17T07:10:38.000Z,"
新盛力 (4931) 今天以18元掛牌上櫃，以33.6元開出，漲幅86.7%，盤中最高來到35.8元，接近1倍漲幅，蜜月行情相當亮麗，終場收漲85.83%。"
2019-09-17T07:10:00.000Z, 新盛力 (4931) 今天以18元掛牌上櫃，以33.6元開出，漲幅86.7%，盤中最高來到35.8元，接近1倍漲幅，蜜月行情相當亮麗，終場收漲85.83%。
2019-10-01T07:01:44.000Z,"
綜觀今日強勢股，新盛力科技 (4931) 董座樂觀看待今年業績會比去年好，明年業績也會比今年好，盤中股價強攻漲停板，並亮麗收在最高點。"
2019-10-01T07:01:00.000Z, 綜觀今日強勢股，新盛力科技 (4931) 董座樂觀看待今年業績會比去年好，明年業績也會比今年好，盤中股價強攻漲停板，並亮麗收在最高點。
2019-10-02T02:08:34.000Z,"
23.新盛力 (4931) ：董座喊話，看好業績年年旺，昨日攻漲停後，晨盤人氣不滅、續漲5.5%，觸及37.2元、站上10日線。"
2019-10-02T02:08:00.000Z, 23.新盛力 (4931) ：董座喊話，看好業績年年旺，昨日攻漲停後，晨盤人氣不滅、續漲5.5%，觸及37.2元、站上10日線。
2019-10-01T07:01:44.000Z,"
綜觀今日強勢股，新盛力科技 (4931) 董座樂觀看待今年業績會比去年好，明年業績也會比今年好，盤中股價強攻漲停板，並亮麗收在最高點。"
2019-10-01T07:01:00.000Z, 綜觀今日強勢股，新盛力科技 (4931) 董座樂觀看待今年業績會比去年好，明年業績也會比今年好，盤中股價強攻漲停板，並亮麗收在最高點。
2019-10-02T02:08:34.000Z,"
23.新盛力 (4931) ：董座喊話，看好業績年年旺，昨日攻漲停後，晨盤人氣不滅、續漲5.5%，觸及37.2元、站上10日線。"
2019-10-02T02:08:00.000Z, 23.新盛力 (4931) ：董座喊話，看好業績年年旺，昨日攻漲停後，晨盤人氣不滅、續漲5.5%，觸及37.2元、站上10日線。
2019-10-29T02:13:58.000Z,"
23.新盛力 (4931) ：外資連5日買超，漲勢不停歇，股價翻紅續上漲近5%。"
2019-11-12T07:08:07.000Z,"
今日上市個股漲幅排行中，新世紀 (3383) 、得力 (1464) 、中視 (9928) 、旺旺保 (2816) 、欣巴巴 (9906) 居前列；上櫃部分，鴻翊 (3521) 、新盛力 (4931) 、大綜 (3147) 、力致 (3483) 、金麗科 (3228) 紅咚咚。"
2019-11-12T07:08:00.000Z, 今日上市個股漲幅排行中，新世紀 (3383) 、得力 (1464) 、中視 (9928) 、旺旺保 (2816) 、欣巴巴 (9906) 居前列；上櫃部分，鴻翊 (3521) 、新盛力 (4931) 、大綜 (3147) 、力致 (3483) 、金麗科 (3228) 紅咚咚。
