PublishDate,Sentence
2017-01-11T07:35:00.000Z,金融沿 5 日線上漲、電子狹幅震盪、非金電挑戰 5 日線1. 電子股：電子指數週三以下跌 0.64 點的 374.60 點作收，近期在 373.78~377.47 點間狹幅整理；週三較強的電子股包括: IC 設計的 3529 力旺、6462 神盾、5269 祥碩、2379 瑞昱、6202 盛群、3035 智原；封測的 8150 南茂、3374 精材、3264 欣銓； PC 相關的 3231 緯創、3005 神基、2377 微星、2382 廣達、2352 佳世達、3706 神達；LED 的 3346 麗清、6271 同欣電、2301 光寶科；電腦周邊的 3032 偉訓、2421 建準、5264 鎧勝 - KY、6188 廣明；光通訊的 6426 統新、4984 科納 - KY、3363 上詮、3163 波若威；網通的 2345 智邦、3596 智易；被動元件的 2327 國巨、6175 立敦、2478 大毅、2456 奇力新… 等。
2017-04-06T01:02:00.000Z,日期：2017年 4月 6日※本日焦點股廣明、榮創、同亨、昭輝、立積、百和、華夏、旺矽、璟德、智邦、眾達-KY、宇隆、聖暉、瑞昱、光鋐、浩鼎※昨日盤勢解析英國脫歐持續帶來政治不確定性，美中高峰會市場聚焦貿易逆差議題，週二西歐三大指數小漲。
2017-04-07T00:58:00.000Z,3.其他個別修正或漲多拉回者，諸如華航 (2610) 、浩鼎 (4174) 、晶電 (2448) 、百和 (9938) 、啟?? (6285) 、精英 (2331) 、超眾 (6230) 、廣明 (6188) 、康控-KY (4943) 等。
2019-02-11T06:46:00.000Z, 農曆年前退場的資金積極搶進蘋果概念股、散熱、5G及風電相關個股，市場看好的神盾 (6462) 、台表科 (6278) 、嘉晶 (3016) 、泰鼎-KY (4927) 、興能高 (6558) 、亞德客-KY (1590) 、美時 (1795) 、廣明 (6188) 、M31 (6643) 及雙鴻 (3324) 強攻漲停板作收，超眾 (6230) 、健策 (3653) 及聯茂 (6213) 同步攀高，在權值股及中小型股聯袂走強下，台股指數一度大漲約百點，不過尾盤時，金融類股等走跌，且華航 (2610) 罷工拖累觀光類股及運輸類股，台股指數小幅壓回，所幸仍驚險守住萬點關卡，為金豬紅盤日留下收紅及登萬點的雙喜，成交量也放大至1300億元，呈現價量齊揚，終場加權股價指數為10004.25點，上漲71.99點，成交量為1319.69億元；OTC指數為131.71點，上漲1.8點，成交量為318.96億元。
2019-02-11T04:12:00.000Z,　台股農曆年長假封關期間，美國股市驚驚漲，尤其是費城半導體指數及Nasdaq指數分別大漲5.4%及3.8%，蘋果股價強勢收高，為今天開紅盤的台股帶來好兆頭，在1月合併營收表現優於預期的大立光 (3008) 及農曆年期間ADR大漲的台積電 (2330) 領軍大漲下，台股指數一開盤就跳空開高，蘋果概念股、散熱、5G及風電相關仍是盤面焦點，興能高 (6558) 、亞德客-KY (1590) 、美時 (1795) 、廣明 (6188) 、強茂 (2481) 盤中股價強攻漲停板，雙鴻 (3324) 盤中股價創下上櫃新高價，帶動超眾 (6230) 及健策 (3653) 同步創高，在權值股及中小型股聯袂走強下，台股指數開高走高，盤中重點萬點，為豬年第一個交易日帶來好彩頭，截至11點40分為止，加權股價指數為10026.59點，上漲94.33點，成交量為864.97億元；OTC指數為131.52點，上漲1.61點，成交量為216.27億元。
2019-02-11T02:01:00.000Z, 24.廣明 (6188) ：主攻工業自動化獲大廠認可，早盤投資人力捧，股價跳空直奔漲停板，飆波段新高價。
2019-02-12T02:09:00.000Z, 22.廣明 (6188) ：昨外資反手賣超，惟利多護體，早盤翻紅續高漲逾5%，再刷新高價。
2019-02-22T23:47:00.000Z,　該15檔周線、月線及季線多頭排列標的，大致都屬電子類股，包含半導體廠台積電、旺宏和群聯、光電廠亞光、玉晶光、達興材料與明基材、電子零組件廠燿華、台光電、台郡及台燿、機殼廠可成、機器人概念股廣明、貿易百貨股益航、金融股上海商銀。
2019-02-22T23:47:00.000Z,　本周台股強漲258.14點、漲幅2.56％，15檔技術及籌碼面兼優表現不俗，周漲幅全數勝過大盤，其中，又以玉晶光、達興材料、廣明、旺宏及益航5檔漲勢最為可觀，周漲幅皆達10％以上。
2019-02-22T23:47:00.000Z,"　籌碼進出方面，全周法人大舉加碼上海商銀達50,096張，台積電達37,960張，其餘台郡、燿華、可成、廣明和旺宏等，買超張數也都超過5,000張之多，法人偏多布局意圖明顯。"
2019-02-25T02:11:00.000Z, 18.廣明 (6188) ：季底作帳蠢動，外資連5日進駐買超逾6千張，早盤挾量上漲逾3.5%，改寫短波高價。
2019-03-05T02:14:00.000Z, 12.廣明 (6188) ：工業自動化需求長線仍將持續成長，外資連9日買超11976張，惟晨盤高檔震盪整理，股價走衰逾7%，失守10日線。
2019-03-25T03:31:00.000Z,美國及歐洲經濟數據不佳，且全球股市指數處於高檔，上週五美股及歐股全面重挫，讓台股及亞股未開盤就綠雲罩頂，日股及韓股一開盤就跳空重挫，台股也因台積電 (2330) 及大立光 (3008) 等權值股重挫，指數一開盤就跳空大跌，永冠-KY (1589) 、豐達科 (3004) 、誠美材 (4960) 、廣明 (6188) 、寶齡 (1760) 、南電 (8046) 等熱門中小型股聯袂拉回，光學股的亞光 (3019) 、玉晶光 (3406) 等亦走跌，各類股僅水泥類股表現較佳，在買盤渙散下，台股指數開低走低，盤中大跌逾150點，失守10500點。
2019-03-29T02:23:00.000Z, 13.廣明 (6188) ：重回外資、自營商擁抱，股價衝漲近7.5%，觸及41.65元、重返5日線上。
2019-03-29T02:23:00.000Z, 13.廣明 (6188) ：重回外資、自營商擁抱，股價衝漲近7.5%，觸及41.65元、重返5日線上。
2019-04-17T02:08:00.000Z, 19.廣明 (6188) ：自動化智慧製造展迎訂單，工業4.0概念股面容紅潤，早盤挾量漲近6.5%。
2019-04-20T06:30:00.000Z,"　外資19日再買台股，今年以來買超達1,625.77億元，買超力道強勁，在台股高檔震盪之際，挑選外資今年四個月以來，每一個月都站在買超且股價技術面強勢的外資買不停個股有緯創、欣興、永豐金、上海商銀、元大金、台達電、廣宇、聯發科、玉山金、華南金、智邦、台燿、廣明、中租-KY、明基材等。"
2019-04-20T02:52:00.000Z,台股第二季將面臨繳稅旺季及首季財報公布兩大重要風向球，市場預估，本夢比將轉向本益比發展，在台股雙巨頭大立光 （3008） 、台積電 （2330） 法說釋出利多，基本面搭配法人卡位題材將強勢抬頭，彩晶 （6116） 、廣明 （6188） 等15檔股價連環炮延燒，多方漲聲響亮！
2019-04-20T02:52:00.000Z,　　篩選今年第一季淡季時刻，營收仍較去年第四季逆勢走高者，顯示營運漸入佳境，搭配法人買盤進駐，且搶搭上基本面抬頭列車的優質股，可望力抗5月繳稅旺季賣壓，包括彩晶、廣明、康舒、聯茂、雙鴻、昇達科、合庫金、神盾、瑞昱、台灣高鐵、台橡、聚陽、技嘉、昇陽半導體、敦陽科等15檔強勢股。
2019-04-20T02:52:00.000Z,"　該15檔本業強棒隊內外兼美，買盤提前卡位意圖明顯，近一周以來，法人搶買彩晶破10,000張，同時加碼廣明、康舒及聯茂達5,000張以上，其餘檔人氣也銳不可擋，買超張數皆逾千張。"
2019-04-20T02:52:00.000Z,　廣明去年下半年受惠SSD客戶增加，帶動全年稅後純益達3.68億元，年增27.8％，EPS達1.32元；今年3月營收達10.25億元，月增69％、年增84％，寫下連續第七個月呈現年成長。
2019-04-20T02:52:00.000Z,　此外，廣明旗下的達明機器人目前更是世界第二大工業協作型機器人品牌，橫跨歐美亞澳四大洲，題材轉機性十足，亦使股價連袂走高，今年以來已翻了1.44倍，攀至58元。
2019-05-13T07:00:00.000Z,中美貿易戰談不攏，美若全面課稅iPhone XS將漲160美元，台廠供應鏈受衝擊，蘋果概念股香氣不再，大立光 (3008) 、可成 (2474) 、臻鼎-KY (4958) 、玉晶光 (3406) 、台光電 (2383) 及台積電 (2330) 等下挫，鴻海 (2317) 、台燿 (6274) 、合勤控 (3704) 、廣明 (6188) 、上銀 (2049) 、聯詠 (3034) 等個股盤中下殺。
