PublishDate,Sentence
2019-02-18T11:21:00.000Z,外資上週自集中市場買超最多的前3名上市公司及張數分別為台積電6萬651張、上海商銀 (5876) 4萬8322張、群創 (3481) 3萬6276張。
2019-10-04T03:56:21.000Z,"
歐美股市在10月前3個交易日同步出現重挫修正走勢，讓日前因台積電 (2330) 創下歷史新天價，指數同步創高的台股承受壓力，儘管3日美股因市場預期聯準會降息機率升高後上演大逆轉收高，但相對抗跌的台股，今天反而出現反彈無力，儘管散熱族群及IC設計股相對強勢，世芯-KY (3661) 、系微 (6231) 、中電 (1611) 、安鈦克 (6276) 盤中股價強攻漲停板，立積 (4968) 、義隆電 (2458) 、健策 (3653) 及台灣高鐵 (2633) 等盤中股價衝高，但台積電、大立光 (3008) 、玉晶光 (3406) 、台達電 (2308) 等權值股走弱，熱門族群如：銅箔基板的聯茂 (6213) 、台燿 (6274) 、被動元件的國巨 (2327) 及華新科 (2492) 等股價開高走低，拖累台股指數開高走低，盤中指數由紅翻黑，再度失守月線，截至11點35分為止，加權股價指數為10864.79點，下跌11.12點，成交量828.34億元；OTC指數為141.04點，下跌0.15點，成交量193.53億元。"
2019-10-04T03:56:00.000Z, 歐美股市在10月前3個交易日同步出現重挫修正走勢，讓日前因台積電 (2330) 創下歷史新天價，指數同步創高的台股承受壓力，儘管3日美股因市場預期聯準會降息機率升高後上演大逆轉收高，但相對抗跌的台股，今天反而出現反彈無力，儘管散熱族群及IC設計股相對強勢，世芯-KY (3661) 、系微 (6231) 、中電 (1611) 、安鈦克 (6276) 盤中股價強攻漲停板，立積 (4968) 、義隆電 (2458) 、健策 (3653) 及台灣高鐵 (2633) 等盤中股價衝高，但台積電、大立光 (3008) 、玉晶光 (3406) 、台達電 (2308) 等權值股走弱，熱門族群如：銅箔基板的聯茂 (6213) 、台燿 (6274) 、被動元件的國巨 (2327) 及華新科 (2492) 等股價開高走低，拖累台股指數開高走低，盤中指數由紅翻黑，再度失守月線，截至11點35分為止，加權股價指數為10864.79點，下跌11.12點，成交量828.34億元；OTC指數為141.04點，下跌0.15點，成交量193.53億元。
2019-10-04T03:56:21.000Z,"
歐美股市在10月前3個交易日同步出現重挫修正走勢，讓日前因台積電 (2330) 創下歷史新天價，指數同步創高的台股承受壓力，儘管3日美股因市場預期聯準會降息機率升高後上演大逆轉收高，但相對抗跌的台股，今天反而出現反彈無力，儘管散熱族群及IC設計股相對強勢，世芯-KY (3661) 、系微 (6231) 、中電 (1611) 、安鈦克 (6276) 盤中股價強攻漲停板，立積 (4968) 、義隆電 (2458) 、健策 (3653) 及台灣高鐵 (2633) 等盤中股價衝高，但台積電、大立光 (3008) 、玉晶光 (3406) 、台達電 (2308) 等權值股走弱，熱門族群如：銅箔基板的聯茂 (6213) 、台燿 (6274) 、被動元件的國巨 (2327) 及華新科 (2492) 等股價開高走低，拖累台股指數開高走低，盤中指數由紅翻黑，再度失守月線，截至11點35分為止，加權股價指數為10864.79點，下跌11.12點，成交量828.34億元；OTC指數為141.04點，下跌0.15點，成交量193.53億元。"
2019-10-04T03:56:00.000Z, 歐美股市在10月前3個交易日同步出現重挫修正走勢，讓日前因台積電 (2330) 創下歷史新天價，指數同步創高的台股承受壓力，儘管3日美股因市場預期聯準會降息機率升高後上演大逆轉收高，但相對抗跌的台股，今天反而出現反彈無力，儘管散熱族群及IC設計股相對強勢，世芯-KY (3661) 、系微 (6231) 、中電 (1611) 、安鈦克 (6276) 盤中股價強攻漲停板，立積 (4968) 、義隆電 (2458) 、健策 (3653) 及台灣高鐵 (2633) 等盤中股價衝高，但台積電、大立光 (3008) 、玉晶光 (3406) 、台達電 (2308) 等權值股走弱，熱門族群如：銅箔基板的聯茂 (6213) 、台燿 (6274) 、被動元件的國巨 (2327) 及華新科 (2492) 等股價開高走低，拖累台股指數開高走低，盤中指數由紅翻黑，再度失守月線，截至11點35分為止，加權股價指數為10864.79點，下跌11.12點，成交量828.34億元；OTC指數為141.04點，下跌0.15點，成交量193.53億元。
2019-10-09T02:13:17.000Z,"
32.安鈦克 (6276) ：9月營收月增逾1成、年增逾3成，前9月年增16.58%，早盤跳空鎖漲停14.5元，登波段高價。"
2019-11-18T06:05:07.000Z,今天台股雖然受上週五美股收盤再創新高帶動開高，但大立光 (3008) 、鴻海 (2317) 、聯發科 (2454) 等權值股休兵，且搶攻千金關卡的精測 (6510) 、矽力-KY (6415) 及信驊 (5274) 今天也無力上攻，僅中小型股個股表現，優群 (3217) 、揚智 (3041) 、美隆電 (2477) 、安鈦克 (6276) 等以漲停作收，在無主流領軍下，今天台股盤中指數在11550點附近膠著，所幸尾盤時台積電 (2330) 表態收高，激勵台股指數擺尾向上，差一點點就站上11600點，終場加權股價指數為11599.78點，上漲74.18點，成交量1084.65億元；OTC指數為143.91點，上漲0.54點，成交量303.2億元。
2019-11-18T06:05:00.000Z,今天台股雖然受上週五美股收盤再創新高帶動開高，但大立光 (3008) 、鴻海 (2317) 、聯發科 (2454) 等權值股休兵，且搶攻千金關卡的精測 (6510) 、矽力-KY (6415) 及信驊 (5274) 今天也無力上攻，僅中小型股個股表現，優群 (3217) 、揚智 (3041) 、美隆電 (2477) 、安鈦克 (6276) 等以漲停作收，在無主流領軍下，今天台股盤中指數在11550點附近膠著，所幸尾盤時台積電 (2330) 表態收高，激勵台股指數擺尾向上，差一點點就站上11600點，終場加權股價指數為11599.78點，上漲74.18點，成交量1084.65億元；OTC指數為143.91點，上漲0.54點，成交量303.2億元。
2019-12-02T06:20:42.000Z,上週五重挫失守5日、10日及月線的台股今天依舊積弱不振，儘管股王—大立光 (3008) 及權王—台積電 (2330) 全場力守紅盤之上，且石英元件個股如：加高 (8182) 及晶技 (3042) 等挾供給吃緊利多攻高，華廣 (4737) 、愛普 (6531) 、家登 (3680) 、亞獅康-KY (6497) 、陽程 (3498) 、安鈦克 (6276) 、捷泰 (6165) 以漲停板，但整個市場有氣無力，在觀望氣氛濃厚下，台股指數多處於平盤附近震盪，尾盤時勉力向上收高，終場加權股價指數為11502.83點，上漲13.26點，成交量1132.71億元；OTC指數為143.63點，下跌0.8點，成交量339.46億元。
2019-12-02T06:20:00.000Z,上週五重挫失守5日、10日及月線的台股今天依舊積弱不振，儘管股王—大立光 (3008) 及權王—台積電 (2330) 全場力守紅盤之上，且石英元件個股如：加高 (8182) 及晶技 (3042) 等挾供給吃緊利多攻高，華廣 (4737) 、愛普 (6531) 、家登 (3680) 、亞獅康-KY (6497) 、陽程 (3498) 、安鈦克 (6276) 、捷泰 (6165) 以漲停板，但整個市場有氣無力，在觀望氣氛濃厚下，台股指數多處於平盤附近震盪，尾盤時勉力向上收高，終場加權股價指數為11502.83點，上漲13.26點，成交量1132.71億元；OTC指數為143.63點，下跌0.8點，成交量339.46億元。
