PublishDate,Sentence,Score
2018-06-06T06:33:00.000Z,股王大立光 (3008) 公布5月業績持續加溫，台積電 (2330) 開盤走穩，收高1元；國泰金 (2882) 、富邦金 (2881) 等大型金控股走穩，加上傳產股由食品的統一 (1216) 股價穩健；台股在電、金、傳產權值股價持續穩定走揚，指數開高走高，回到今年1、2月時的歷史高點附近。,5
2018-06-11T07:07:00.000Z,  權值股今日表現平平，國泰金 (2882) 及聯發科 (2454) 力守紅盤，中華電 (2412) 、統一超 (2912) 、台灣大 (3045) 、台塑化 (6505) 收小黑，中鋼 (2002) 、統一 (1216) 、日月光投控 (3711) 下跌逾1%相對弱勢。,-1
2018-06-11T07:07:00.000Z,台股受到國際利空消息干擾，包括G7峰會不歡而散，FED將再度調息，與中美貿易磨擦未見轉寰契機，使全球貿易大戰陰霾揮之不去，致今日盤勢攻堅乏力；在蘋果鏈台積電、鴻海雙雙走疲，統一、兆豐金 (2886) 、台泥 (1101) 與南亞 (1303) 等權值股表現不振下，終場指數收跌7.19點。,-8
2018-06-11T06:39:00.000Z,日月光投控 （3711） 下跌1.81％、統一 （1216） 、中鋼 （2002） 收跌逾1％，表現均相對弱勢。,-4
2018-06-11T03:19:00.000Z,  權值股今日表現平平，由股后國巨 （2327） 漲逾3％領軍撐盤，早盤一度大漲6.36％、再創1255元新高，國泰金 （2882） 及聯發科 （2454） 力守紅盤，中華電 （2412） 、統一超 （2912） 、台灣大 （3045） 亦持穩平盤之上。,7
2018-06-11T03:19:00.000Z,中鋼 （2002） 跌近1.5％，表現最為弱勢，統一 （1216） 、日月光投控 （3711） 、台塑化 （6505） 亦跌約1％左右。,-2
2018-06-14T07:09:00.000Z,傳產與金融權值股普遍走弱，台塑四寶、統一 (1216) 、中鋼 (2002) 、富邦金 (2881) 及國泰金 (2882) 等同步收黑。,-2
2018-06-15T07:26:00.000Z,受端午節連續假期在即，加上中美貿易戰疑慮再起，使今市場觀望氣氛偏濃，台股多於平盤附近來回震盪，所幸國泰金、富邦金等金融股撐盤，台塑化 (6505) 、統一 (1216) 等權值股力挺多方，加上台積電及國巨突圍建功，使指數守穩「萬一」之上，並重返月線關卡。,0
2018-06-20T09:05:00.000Z,統一 (1216) 今日舉行股東會，通過配息5.5元，股價正向反應，走高2%以上，佳格(1227同步大漲，加上飲料旺季題材護航，食品類股也有買盤跟隨，與油電、水泥、金融、汽車等類股攜手攻高。,7
2018-06-27T06:59:00.000Z,  百貨股今日受傷最深，類股跌幅1.7%，富邦媒重跌3%，面臨200元保衛戰，統一超 (2912) 市值越兆豐金，直逼中鋼，但獲利了結賣壓出籠，今日回檔修正，下跌約2.5%。,-4
2018-06-29T07:24:00.000Z,周四美股三大指數同步收高，台股在連5黑後，今日由三巨頭大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 同步點火，帶動指數展開跌深反彈，盤中在集團股半年報作帳行情啟動下，被動元件族群國巨 (2327) 、華新科 (2492) 、信昌電 (6173) 、奇力新 (2456) 等同步攻高，台塑 (1301) 、統一 (1216) 等傳產集團股亦強勢表態，加上國泰金 (2882) 、富邦金 (2881) 等金融股聯袂拉抬，推升指數大漲逾百點重返10800點大關，終場加權指數大漲182.63點收在今日最高10836.91點，重返年線及五日線，成交值為1396.92億元；周線、月線同步收黑。,7
2018-06-29T07:24:00.000Z,食品股龍頭統一 (1216) 尾盤擺尾收高，拉抬類指大漲2%表現強勢。,5
2018-06-29T00:38:00.000Z,　據統計，這14檔擁高殖利率，股息又連5年增的個股股包括碩天、廣隆、凱撒衛、榮成、興勤、統一超、信邦、南亞、元禎、中華、光磊、台光電、三福化、關貿等，其中傳產與電子約各半。,1
2018-06-29T00:38:00.000Z,　食品通路龍頭統一超，擬將配發25元現金股利，寫歷史新高，同時也是連6年股利遞增的公司，顯示其獲利及股利配發穩健，近來股價雖在高檔，但現金殖利率仍穩居7％以上。,5
2018-06-30T02:45:00.000Z,　不過，統一投顧董事長黎方國則對於和艦在A股掛牌，相當看好，他認為，將可募集到百億元資金活水，改善其財務結構，在陸股掛牌，有利增加其在大陸的知名度、吸納半導體的人才，也可以取得當地資金水位，有利建構集團在大陸市場版圖，一舉數得。,5
2018-06-30T02:45:00.000Z,　不過，統一投顧董事長黎方國則對於和艦在A股掛牌，相當看好，他認為，將可募集到百億元資金活水，改善其財務結構，在陸股掛牌，有利增加其在大陸的知名度、吸納半導體的人才，也可以取得當地資金水位，有利建構集團在大陸市場版圖，一舉數得。,5
2018-06-29T07:24:00.000Z,周四美股三大指數同步收高，台股在連5黑後，今日由三巨頭大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 同步點火，帶動指數展開跌深反彈，盤中在集團股半年報作帳行情啟動下，被動元件族群國巨 (2327) 、華新科 (2492) 、信昌電 (6173) 、奇力新 (2456) 等同步攻高，台塑 (1301) 、統一 (1216) 等傳產集團股亦強勢表態，加上國泰金 (2882) 、富邦金 (2881) 等金融股聯袂拉抬，推升指數大漲逾百點重返10800點大關，終場加權指數大漲182.63點收在今日最高10836.91點，重返年線及五日線，成交值為1396.92億元；周線、月線同步收黑。,7
2018-06-29T07:24:00.000Z,食品股龍頭統一 (1216) 尾盤擺尾收高，拉抬類指大漲2%表現強勢。,5
2018-06-29T00:38:00.000Z,　據統計，這14檔擁高殖利率，股息又連5年增的個股股包括碩天、廣隆、凱撒衛、榮成、興勤、統一超、信邦、南亞、元禎、中華、光磊、台光電、三福化、關貿等，其中傳產與電子約各半。,1
2018-06-29T00:38:00.000Z,　食品通路龍頭統一超，擬將配發25元現金股利，寫歷史新高，同時也是連6年股利遞增的公司，顯示其獲利及股利配發穩健，近來股價雖在高檔，但現金殖利率仍穩居7％以上。,5
