PublishDate,Sentence
2017-01-11T07:35:00.000Z,3. 傳產股: 週三以水泥、橡膠、鋼鐵、電器電纜等類股較為強勢；水泥看 1101 台泥、1102 亞泥的表現；橡膠由 2105 正新、2103 台橡領漲；鋼鐵看 2002 中鋼、2014 中鴻、2023 燁輝、2027 大成鋼、2029 盛餘的表現；電器電纜由 1605 華新領漲。
2017-01-11T07:05:00.000Z,原物料族群今日扮演撐盤要角，中鋼 (2002) 掛帥領軍出擊，帶動鋼鐵股中鴻 (2014) 、燁輝 (2023) 、盛餘 (2029) 、大成鋼 (2027) 及橡膠股台橡 (2103) 、正新 (2105) 等齊力上攻，塑膠及紡織股回檔休息；葡萄王 (1707) 傳出高價買樓及收受回扣利空消息，雖遭公司出面駁斥，股價仍持續探低，拖累生醫股表現；貨櫃三雄上季營運聯袂衝高，長榮 (2603) 、陽明 (2609) 、萬海 (2615) 股價同飆。
2017-01-19T05:42:00.000Z,川普告訴庫克：「你開始在這個國家(而非其他國家)打造大工廠的那一刻將會是一大成就。
2017-02-14T07:00:00.000Z,傳產股方面，國際銅價續揚，激勵華新 (1605) 挾量衝高，億泰 (1616) 、大亞 (1609) 攜手漲停，華電 (1603) 、華榮 (1608) 緊追在後，齊力扮演多頭主帥；第一銅 (2009) 亦爆量攻頂，帶動鋼鐵股走勢堅挺；食品股在禽流感疫情擴大下相對弱勢，國內兩家最大電宰雞廠大成 (1210) 續弱、卜蜂 (1215) 翻紅。
2017-02-17T06:54:00.000Z,禽流感疫情持續升高，今起全台家禽禁宰禁運7天，食品股聞訊走跌，大成 (1210) 、卜蜂 (1215) 營運影響不大，股價相對有撐；市場傳出阿里巴巴有意購併中國大潤發，帶動潤泰集團潤泰新 (9945) 、潤泰全 (2915) 聯袂走揚；生醫股在浩鼎 (4174) 亮燈漲停帶動下，漲勢相對耀眼。
2017-02-24T06:19:00.000Z,  非電子股方面，由於家禽禁運禁宰措施今日獲得解除，帶動相關概念股價大鬆口氣，儘管主要採室內封閉式飼養，原本就不受疫情影響，但卜蜂 (1215) 、大成 (1210) 、福壽 (1219) 等股價依舊喊漲，另外其祥-KY (1258) 也因在新馬地區，不受禽流感影響，加上去年營收創新高，盤中股價同步走揚；非電子股另一強勢族群就屬航運股，在類股輪動明顯下受到激勵，貨櫃三雄裕民 (2606) 、新興 (2605) 、慧洋-KY (2637) 股價盤中皆創下波段新高，長榮 (2603) 、萬海 (2615) 在買盤簇擁下，也雙雙創下波段新高。
2017-02-24T06:19:00.000Z,  非電子股方面，由於家禽禁運禁宰措施今日獲得解除，帶動相關概念股價大鬆口氣，儘管主要採室內封閉式飼養，原本就不受疫情影響，但卜蜂 (1215) 、大成 (1210) 、福壽 (1219) 等股價依舊喊漲，另外其祥-KY (1258) 也因在新馬地區，不受禽流感影響，加上去年營收創新高，盤中股價同步走揚；非電子股另一強勢族群就屬航運股，在類股輪動明顯下受到激勵，貨櫃三雄裕民 (2606) 、新興 (2605) 、慧洋-KY (2637) 股價盤中皆創下波段新高，長榮 (2603) 、萬海 (2615) 在買盤簇擁下，也雙雙創下波段新高。
2017-03-06T07:03:00.000Z,食品股因卜蜂 (1215) 、大成 (1210) 剽悍大漲，推升類指向上攻高。
2017-03-15T07:43:00.000Z,不過供給緊俏、三星有巨大成本優勢，又有閒置廠房可提升產能，預期三星可能會增加3D NAND和DRAM產出。
2017-04-06T01:02:00.000Z,o弱勢股：以個別修正或漲多拉回為主，諸如英業達 (2356) 、長榮航 (2618) 、華航 (2610) 、大同 (2371) 、樺漢 (6414) 、譜瑞-KY (4966) 、碩禾 (3691) 、大成鋼 (2027) 等。
