PublishDate,Sentence
2017-01-13T07:03:00.000Z,反觀食品股有年節銷售行情，老大哥統一 (1216) 上漲逾1%，聯華食 (1231) 創高後守住，大飲 (1213) 、卜蜂 (1215) 、黑松 (1234) 攜手齊揚，類股指數收漲0.6%。
2017-03-02T00:48:00.000Z,6.傳產股: 週三以食品、造紙、運輸、觀光、水泥等類股較為強勢；食品看1216統一、1256鮮活果汁-KY、1234黑松的表現；造紙由1909榮成、1905華紙領漲；運輸看2609陽明、2603長榮、2208台船、2615萬海、2636台驊的表現；觀光由5706鳳凰、2723美食-KY領漲；水泥看1103嘉泥、1102亞泥的表現。
2017-03-02T00:48:00.000Z,6.傳產股: 週三以食品、造紙、運輸、觀光、水泥等類股較為強勢；食品看1216統一、1256鮮活果汁-KY、1234黑松的表現；造紙由1909榮成、1905華紙領漲；運輸看2609陽明、2603長榮、2208台船、2615萬海、2636台驊的表現；觀光由5706鳳凰、2723美食-KY領漲；水泥看1103嘉泥、1102亞泥的表現。
2018-02-23T07:06:00.000Z,美國公債殖利率回落，激勵周四美股道瓊和標普500指數收高，台股今日跟隨亞股開高，在蘋概股指標大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 領軍電子權值股反彈，推升指數一路墊高，盤中漲破百點觸及10799.29點，一舉收復10700點、季線及半年線，離10800點僅一步之遙，終場加權指數上漲132.17點為10794.55點，成交值放大至1234.33億元；周線翻紅，本周大漲373.46點。
2018-11-16T01:19:00.000Z,中美緊張氣氛緩和，周四美股齊翻紅收漲，終場道瓊指數漲208.77點，報25289.27點；那斯達克指數漲122.64點，報7259.03點；S&P500指數漲28.62點，報2730.20點；費城半導體指數漲39.91點，報1234.62。
2018-12-19T01:54:00.000Z, 6.黑松 (1234) ：活化資產，將出售7千坪深坑土地，股價激揚8%。
2019-06-18T03:02:00.000Z,味全 (1201) 擬未來獲利的50%都要配現金，多頭鼓掌叫好，今股價開高後穩漲約1.7%，佳格 (1227) 、統一 (1216) 、卜蜂 (1215) 、泰山 (1218) 、南僑 (1702) 、黑松 (1234) 等同樂慶歡，並拉升食品類指上漲約0.7%，拿下今日類股漲幅冠軍寶座。
2019-08-20T02:07:00.000Z, 16.聯茂 (6213) ：5G商機續燒，外資昨日買超1234張，投信買超2日計428張，股價漲2.12%。
2019-10-23T02:06:06.000Z,"
6.遠百 (2903) ：周年慶題材加持，獲外資、自營商連兩日攜手買超計1234張，吸引買盤湧入，早盤量增價漲逾4%。"
2019-10-23T02:06:00.000Z, 6.遠百 (2903) ：周年慶題材加持，獲外資、自營商連兩日攜手買超計1234張，吸引買盤湧入，早盤量增價漲逾4%。
2020-02-10T07:15:00.000Z,　周一上市漲幅第一由食品股奪得，類股挾上月春節業績表現可期，以及防疫對吃的需求仍在，龍頭股統一 (1216) 領軍揚升，味全 (1201) 、愛之味 (1217) 、黑松 (1234) 、泰山 (1218) 等均逆勢上漲，推升類股指數收漲0.74%。
2020-02-10T07:15:00.000Z,"
周一上市漲幅第一由食品股奪得，類股挾上月春節業績表現可期，以及防疫對吃的需求仍在，龍頭股統一 (1216) 領軍揚升，味全 (1201) 、愛之味 (1217) 、黑松 (1234) 、泰山 (1218) 等均逆勢上漲，推升類股指數收漲0.74%。"
2020-08-12T07:51:00.000Z,"
&nbsp;
（封面圖／東森財經）&nbsp;
更多東森財經新聞報導
<a href=""https://fnc.ebc.net.tw/FncNews/stock/123526?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">台股「斷電」失守12700 分析師：多頭調整非轉空</a>
<a href=""https://fnc.ebc.net.tw/FncNews/life/123516?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">護國神山好威 台積電不但護台股還讓台南房價紅了</a>
<a href=""https://fnc.ebc.net.tw/FncNews/stock/123465?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">權王壓盤台股盤下震盪 分析師：台積電未翻空 不要這麼嚴苛！"
