PublishDate,Sentence
2017-10-17T06:50:00.000Z,食品類股在福懋油 (1225) 漲停帶動下走勢蠢動，南僑 (1702) 、興泰 (1235) 跟進走強，收漲近1%，老牌廠統一 (1216) 守住5日線上，表現優於大盤。
2018-06-07T07:05:00.000Z,　昨天表現強勁的雙王台積電 (2330) 、大立光 (3008) 呈現盤整，被動元件族群禾伸堂 (3026) 、華新科 (2492) 、大毅 (2478) 、信昌電 (6173) 、光頡 (3624) 同步飆高，股后國巨 (2327) 更是觸頂再登天價1235元，帶動高價股精測 (6510) 、精華 (1565) 、信驊 (5274) 等掀比價行情；特斯拉6日股價大漲，激勵特斯拉概念股貿聯-KY (3665) 、原相 (3227) 齊攻漲停，美琪瑪 (4721) 、康普 (4739) 、和大 (1536) 跟進飆高。
2018-09-12T07:16:00.000Z,今收跌29.73點或0.28%，報10722.57點，成交1235.23億元。
2018-09-12T06:39:00.000Z,美股收高，但中美貿易爭端持續延燒，亞股續弱，中場後隨著陸股跌幅收斂，台股多頭統帥台積電 (2330) 翻紅，但鴻海 (2317) 等蘋概股不強，且金融、傳產股全都陷入整理，台股仍收低29點至10722點，成交值1235億元。
2018-10-19T07:04:00.000Z,今另一亮點是統一 (1216) 領軍的食品族群，鮮活-KY (1256) 、興農 (1235) 、福壽 (1219) 等個股獲多頭重振旗鼓，股價同步飄香。
2018-10-19T02:35:00.000Z, 今日類股指數幾乎全數走跌，僅食品股獨紅，統一 (1216) 大漲近2%，興泰 (1235) 、福壽 (1219) 亦逆勢走揚。
2019-05-13T07:00:00.000Z,同樣有內需題材撐腰的食品股由卜蜂 (1215) 、佳格 (1227) 逆勢大漲喊衝，聯華、聯華食及大成等也都上漲約2%以上，此外，興泰、台盬、鮮活果汁-KY及統一等股也都力守紅盤之上。
2019-10-30T09:09:00.000Z,外國人則以中國大陸申請件數最多，共1755件、年增15%；日本1235件居次、年增9%，美國、香港及南韓件數則下降。
2019-11-21T09:14:09.000Z,"證交所公告今日單一證券鉅額成交，股票名稱：
1.興泰 (1235) ：每股成交價28元，成交量175萬股，成交金額4900萬元。"
2020-01-09T09:12:47.000Z,"證交所公告今日單一證券鉅額成交，股票名稱：
1.興泰 (1235) ：每股成交價21.7元，成交量50萬股，成交金額1085萬元。"
2020-01-10T09:09:30.000Z,"證交所公告今日單一證券鉅額成交，股票名稱：
1.興泰 (1235) ：每股成交價21.7元，成交量50萬股，成交金額1085萬元。"
2020-02-21T05:56:19.000Z,新型冠狀病毒疫情恐慌在全球持續發酵，除大陸疫情尚未控制外，日本、新加坡以及韓國也爆發社區感染，恐衝擊亞洲經濟市場，台股難置身事外，台股今震盪小跌開出，雖一度翻紅小漲，但依舊難敵權值股跌多漲少，指數摔下11700點，終場台股收跌38.74點、報在11686.35點、成交量為1235.76億元；台股周線翻黑、本周指數跌129點。
2020-02-21T05:56:00.000Z,新型冠狀病毒疫情恐慌在全球持續發酵，除大陸疫情尚未控制外，日本、新加坡以及韓國也爆發社區感染，恐衝擊亞洲經濟市場，台股難置身事外，台股今震盪小跌開出，雖一度翻紅小漲，但依舊難敵權值股跌多漲少，指數摔下11700點，終場台股收跌38.74點、報在11686.35點、成交量為1235.76億元；台股周線翻黑、本周指數跌129點。
2020-03-24T07:09:00.000Z,汽車、光電與食品股等皆在漲幅前列，其中因疫情延燒拉高民眾對加工食品需求，食品股由統一 (1216) 領軍搭上台股大漲列車，佳格 (1227) 、興泰 (1235) 、中華食 (4205) 、鮮活-KY (1256) 等紛紛上漲，展現強悍氣勢。
2020-08-12T07:51:00.000Z,"
&nbsp;
（封面圖／東森財經）&nbsp;
更多東森財經新聞報導
<a href=""https://fnc.ebc.net.tw/FncNews/stock/123526?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">台股「斷電」失守12700 分析師：多頭調整非轉空</a>
<a href=""https://fnc.ebc.net.tw/FncNews/life/123516?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">護國神山好威 台積電不但護台股還讓台南房價紅了</a>
<a href=""https://fnc.ebc.net.tw/FncNews/stock/123465?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">權王壓盤台股盤下震盪 分析師：台積電未翻空 不要這麼嚴苛！"
