PublishDate,Sentence
2018-02-05T02:17:00.000Z,  12.宏亞 (1236) ：年節送禮商機護航，加上股價自去年底來漲勢落後，今早逆勢上揚近1%。
2019-05-14T06:59:00.000Z,盤中陸股翻紅，台股警報暫除，食品股有冷飲旺季及內需題材，續為資金的避風港，味全 (1201) 、宏亞 (1236) 逆升；和泰車 (2207) 代理的TOYOTA和LEXUS雙品牌進入產品大年，帶動汽車類股指數漲幅逾1%。
2019-05-14T02:36:00.000Z, 在盤面表現方面，食品族群挾著夏季冷飲旺季及內需題材，今日成為資金的避風港，味全 (1201) 、宏亞 (1236) 聯袂逆升；和泰車 (2207) 代理的TOYOTA和LEXUS雙品牌今年都進入產品大年，晨盤股價上漲2%，帶動汽車類股指數漲幅逾1%，表現相對勢；以內需為主的觀光族群，貿易戰衝擊影響相對較輕、股價相對有撐，具題材個股今日漲勢仍穩健。
2019-08-01T07:10:03.000Z,"
陸喊停來台自由行，上市食品、觀光類股跌幅慘列倒數一、二名，跌幅分別為2.89%、1.75%，內需相關族群表現疲弱，食品股的部分，味全 (1201) 、統一 (1216) 、愛之味 (1217) 、泰山 (1218) 、佳格 (1227) 跌幅超過1%，天仁 (1233) 、宏亞 (1236) 、南僑 (1702) 、臺鹽 (1737) 也同步走跌，味王 (1203) 、鮮活果汁-KY (1256) 則逆勢撐盤走揚。"
2019-08-01T07:10:00.000Z,　陸喊停來台自由行，上市食品、觀光類股跌幅慘列倒數一、二名，跌幅分別為2.89%、1.75%，內需相關族群表現疲弱，食品股的部分，味全 (1201) 、統一 (1216) 、愛之味 (1217) 、泰山 (1218) 、佳格 (1227) 跌幅超過1%，天仁 (1233) 、宏亞 (1236) 、南僑 (1702) 、臺鹽 (1737) 也同步走跌，味王 (1203) 、鮮活果汁-KY (1256) 則逆勢撐盤走揚。
2019-08-01T07:10:03.000Z,"
陸喊停來台自由行，上市食品、觀光類股跌幅慘列倒數一、二名，跌幅分別為2.89%、1.75%，內需相關族群表現疲弱，食品股的部分，味全 (1201) 、統一 (1216) 、愛之味 (1217) 、泰山 (1218) 、佳格 (1227) 跌幅超過1%，天仁 (1233) 、宏亞 (1236) 、南僑 (1702) 、臺鹽 (1737) 也同步走跌，味王 (1203) 、鮮活果汁-KY (1256) 則逆勢撐盤走揚。"
2019-08-01T07:10:00.000Z,　陸喊停來台自由行，上市食品、觀光類股跌幅慘列倒數一、二名，跌幅分別為2.89%、1.75%，內需相關族群表現疲弱，食品股的部分，味全 (1201) 、統一 (1216) 、愛之味 (1217) 、泰山 (1218) 、佳格 (1227) 跌幅超過1%，天仁 (1233) 、宏亞 (1236) 、南僑 (1702) 、臺鹽 (1737) 也同步走跌，味王 (1203) 、鮮活果汁-KY (1256) 則逆勢撐盤走揚。
2019-08-26T02:13:04.000Z,"
24.宏亞 (1236) ：中秋送禮高峰期，股價展現抗跌氣勢，今早逆勢走高，穩在5日線上。"
2019-08-26T02:13:00.000Z, 24.宏亞 (1236) ：中秋送禮高峰期，股價展現抗跌氣勢，今早逆勢走高，穩在5日線上。
2019-11-06T02:01:00.000Z, 5.南亞科 (2408) ：昨獲三大法人聯手轉買超1236張，加上麥格理證升評至「優於大盤」，早盤逆勢續漲至74元。
2019-11-06T02:01:00.000Z,"
5.南亞科 (2408) ：昨獲三大法人聯手轉買超1236張，加上麥格理證升評至「優於大盤」，早盤逆勢續漲至74元。"
2019-12-18T07:17:00.000Z,類股來看，食品、造紙、玻璃類指收漲逾1%，成為上市類股漲幅前三名，大成 (1210) 攜昭和攻高端市場，股價創11年新高點，調體質、明年看旺的宏亞 (1236) 也齊步闖上波段新高價，造紙的台紙 (1902) 、士紙 (1903) 、永豐餘 (1907) 以及玻璃的台玻 (1802) 、冠軍 (1806) 皆穩盤上攻。
2020-02-26T02:07:00.000Z,  20.祥碩 (5269) ：結盟文曄委屈走跌，惟外資仍連10日買超1236張，早盤上揚，挑戰重返800元關卡。
2020-03-04T02:08:20.000Z,"
5.東和鋼鐵 (2006) ：擬配息1.35元，三大法人連兩日聯手買超計1236張，早盤挾量續漲逾2%，衝7餘月波段高價。"
2020-03-04T02:08:00.000Z,  5.東和鋼鐵 (2006) ：擬配息1.35元，三大法人連兩日聯手買超計1236張，早盤挾量續漲逾2%，衝7餘月波段高價。
2020-03-04T02:08:20.000Z,"
5.東和鋼鐵 (2006) ：擬配息1.35元，三大法人連兩日聯手買超計1236張，早盤挾量續漲逾2%，衝7餘月波段高價。"
2020-03-04T02:08:00.000Z,  5.東和鋼鐵 (2006) ：擬配息1.35元，三大法人連兩日聯手買超計1236張，早盤挾量續漲逾2%，衝7餘月波段高價。
2020-03-16T03:59:28.000Z,"
截至11點35分為止，加權股價指數為9891.1點，下跌237.77點，成交量1236.34億元；OTC指數為121.24點，下跌2.2點，成交量237.55億元。"
