PublishDate,Sentence
2017-02-24T06:19:00.000Z,  非電子股方面，由於家禽禁運禁宰措施今日獲得解除，帶動相關概念股價大鬆口氣，儘管主要採室內封閉式飼養，原本就不受疫情影響，但卜蜂 (1215) 、大成 (1210) 、福壽 (1219) 等股價依舊喊漲，另外其祥-KY (1258) 也因在新馬地區，不受禽流感影響，加上去年營收創新高，盤中股價同步走揚；非電子股另一強勢族群就屬航運股，在類股輪動明顯下受到激勵，貨櫃三雄裕民 (2606) 、新興 (2605) 、慧洋-KY (2637) 股價盤中皆創下波段新高，長榮 (2603) 、萬海 (2615) 在買盤簇擁下，也雙雙創下波段新高。
2017-02-24T06:19:00.000Z,  非電子股方面，由於家禽禁運禁宰措施今日獲得解除，帶動相關概念股價大鬆口氣，儘管主要採室內封閉式飼養，原本就不受疫情影響，但卜蜂 (1215) 、大成 (1210) 、福壽 (1219) 等股價依舊喊漲，另外其祥-KY (1258) 也因在新馬地區，不受禽流感影響，加上去年營收創新高，盤中股價同步走揚；非電子股另一強勢族群就屬航運股，在類股輪動明顯下受到激勵，貨櫃三雄裕民 (2606) 、新興 (2605) 、慧洋-KY (2637) 股價盤中皆創下波段新高，長榮 (2603) 、萬海 (2615) 在買盤簇擁下，也雙雙創下波段新高。
2017-08-25T06:34:00.000Z,  非電子股來說，今日以航運、食品表現出色，食品股瞄準中元節、中秋節旺季檔期，銷售動能升溫，其祥-KY (1258) 上漲近3%，今日除權息的聯華 (1229) 亦走強2.5%，統一 (1216) 漲幅也維持在1%以上，整體類股漲幅接近1%；航運股則以萬海 (2615) 為領頭羊，盤中一度漲停，終場收漲7.5%，台驊 (2636) 漲幅也達5.5%，其餘台航 (2617) 、榮運 (2607) 、長榮 (2603) 等也強勢走揚，類股指數漲幅達1.08%。
2018-05-18T07:08:00.000Z,擔憂第二輪美中貿易談判結果及油價持續走高帶來壓力，周四美股三大指數收低，台股今日適逢520前最後一個交易日，在股王大立光 (3008) 傳出搶下三星單，股價重登4000元大關帶動下，指數一度站回5日線，惟權王台積電 (2330) 走弱逼近前低220元，使台股表現受到壓抑，盤中指數翻黑陷入整理，並一度回測季線大關，終場加權指數下跌2.97點為10830.84點、成交值縮為1258.91億元；周線翻黑、本周下跌28.14點。
2018-05-18T06:12:00.000Z,加權股價指數終場下跌2.97點、跌幅0.03%、收在10830.84點、成交值新台幣1258.91億元，台積電 (2330) 跌幅1.32%，股王大立光 (3008) 勁揚2.3%，被動元件恢復漲勢、矽晶圓上攻無力，電子股強弱分歧，520前最後交易日指數陷入盤整。
2018-05-18T05:55:00.000Z,520前夕台股持續量縮震盪，今開高後壓抑震盪走低，跌破5日線，最低一度回測接近季線位置，而台積電的走弱，逼近前低220元，為壓抑台股表現的主要壓力，終場台股收跌2.97點、報在10830.84點、成交量為1258.91億元，本周台股周線翻黑、本周指數跌28.14點。
2018-11-02T01:18:00.000Z,川習會樂觀，提振投資人的信心，美股連3日上漲，道瓊工業指數周四收盤漲264.98點或1.06%，報25380.74點；S&P500指數漲28.63點或1.06%，報2740.37點；那斯達克指數漲128.16點或1.75%，報7434.06點；費城半導體指數漲55.78點，報1258.07點。
2018-11-02T01:18:00.000Z,川習會樂觀，提振投資人的信心，美股連3日上漲，道瓊工業指數周四收盤漲264.98點或1.06%，報25380.74點；S&P500指數漲28.63點或1.06%，報2740.37點；那斯達克指數漲128.16點或1.75%，報7434.06點；費城半導體指數漲55.78點，報1258.07點。
2019-01-09T07:11:00.000Z,美中貿易協商樂觀可期，令美股隔夜歡慶大漲，台股今日隨之起舞，在三王台積電 (2330) 、鴻海 (2317) 及大立光 (3008) 領軍蘋果鏈開香檳，引領大型權值股聯發科 (2454) 、台達電 (2308) 、國巨 (2327) 、富邦金 (2881) 、國泰金 (2882) 、中鋼 (2002) 、台塑化 (6505) 等聯袂勁揚，令多頭士氣大振，推升指數飆漲逾百點連續攻克9600、月線及9700點大關，終場加權股價指數收在今日相對高點9738.31點，大漲174.71點，創下今年開年來新高，成交量放大至1258.93億元。
2019-01-09T06:01:00.000Z,美中貿易談判預期偏樂觀，周二美股三大指數全面走高，台股今早由台積電 (2330) 及股王大立光 (3008) 等蘋果供應鏈開高領漲，電金傳產股齊揚，早盤漲點即突破百點，力克月線反壓，收盤大漲174點至9738點，成交值大幅增至1258億元。
