limitRMSE,countDuration,endureRMSE,observedTime
15,15,50,2022/06/21 18:11:51
15,15,50,2022/06/21 21:16:17
15,15,50,2022/06/21 21:17:20
15,15,50,2022/06/21 21:17:48
15,15,50,2022/06/21 21:18:15
15,15,50,2022/06/21 21:19:48
15,15,50,2022/06/21 21:20:57
15,15,50,2022/06/21 21:25:27
15,15,50,2022/06/21 21:28:05
15,15,50,2022/06/21 21:29:51
15,15,50,2022/06/21 21:31:05
15,15,50,2022/06/21 21:36:14
15,15,50,2022/06/21 21:36:46
15,15,50,2022/06/21 21:37:28
15,15,50,2022/06/21 21:37:58
15,15,50,2022/06/21 21:38:08
15,15,50,2022/06/21 21:38:19
15,15,50,2022/06/21 21:39:32
15,15,50,2022/06/21 21:40:23
15,15,50,2022/06/21 21:41:04
15,15,50,2022/06/21 21:41:28
15,15,50,2022/06/21 21:41:55
15,15,50,2022/06/21 21:44:20
15,15,50,2022/06/21 21:45:26
15,15,50,2022/06/21 21:45:29
15,15,50,2022/06/21 21:46:29
15,15,50,2022/06/21 21:47:31
15,15,50,2022/06/21 21:47:35
15,15,50,2022/06/21 21:48:01
15,15,50,2022/06/21 21:51:04
15,15,50,2022/06/21 21:51:33
15,15,50,2022/06/21 21:54:56
15,15,50,2022/06/21 21:55:29
15,15,50,2022/06/21 21:57:40
15,15,50,2022/06/21 21:59:00
15,15,50,2022/06/21 22:01:52
15,15,50,2022/06/21 22:05:15
15,15,50,2022/06/21 22:07:26
15,15,50,2022/06/21 22:08:35
15,15,50,2022/06/21 22:09:40
15,15,50,2022/06/21 22:10:28
15,15,50,2022/06/21 22:10:50
15,15,50,2022/06/21 22:12:39
15,15,50,2022/06/21 22:13:01
15,15,50,2022/06/21 22:13:12
15,15,50,2022/06/21 22:13:21
15,15,50,2022/06/22 00:08:07
