modelName,score,rmse,spendTime,executionTime,startDate,endDate,random_seed,Dense1Units,Dense2Units,learning_rate,decay,momentum,nesterov,optimizer,loss,epochs,verbose,batch_size,machine,runProcess
keras_7_55542.h5,57.08,7.56,87.31,2022/06/21 02:27:55,2021-01-03,2021-01-17,200,62,52,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Triple
rmseBeyond15,247.66,15.74,91.22,2022/06/21 02:29:31,2021-01-17,2021-01-31,200,62,52,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Triple
rmseBeyond15,1497.62,38.7,87.22,2022/06/21 02:57:59,2021-01-03,2021-01-17,200,15,223,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Triple
rmseBeyond15,250.6,15.83,94.24,2022/06/21 03:02:50,2021-01-03,2021-01-17,200,73,234,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Triple
rmseBeyond15,316.8,17.8,88.22,2022/06/21 11:21:50,2021-01-03,2021-01-17,200,65,131,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Triple
keras_12_8012.h5,163.87,12.8,97.93,2022/06/21 11:23:33,2021-01-03,2021-01-17,200,128,243,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Triple
rmseBeyond15,247.68,15.74,98.29,2022/06/21 11:25:15,2021-01-17,2021-01-31,200,128,243,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Triple
keras_14_5814.h5,212.62,14.58,93.42,2022/06/21 11:26:52,2021-01-03,2021-01-17,200,108,173,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Triple
rmseBeyond15,288.7,16.99,94.92,2022/06/21 11:28:31,2021-01-17,2021-01-31,200,108,173,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Triple
rmseBeyond15,671.28,25.91,93.4,2022/06/21 11:30:09,2021-01-03,2021-01-17,200,55,235,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Triple
keras_11_8064.h5,139.39,11.81,92.7,2022/06/21 11:31:46,2021-01-03,2021-01-17,200,57,182,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Triple
rmseBeyond15,396.51,19.91,93.4,2022/06/21 11:33:23,2021-01-17,2021-01-31,200,57,182,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Triple
keras_9_06365.h5,82.15,9.06,91.22,2022/06/21 11:34:59,2021-01-03,2021-01-17,200,96,43,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Triple
rmseBeyond15,325.86,18.05,91.13,2022/06/21 11:36:34,2021-01-17,2021-01-31,200,96,43,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Triple
keras_10_8329.h5,117.35,10.83,91.02,2022/06/21 11:38:09,2021-01-03,2021-01-17,200,101,82,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Triple
