modelName,score,rmse,spendTime,executionTime,startDate,endDate,random_seed,Dense1Units,Dense2Units,learning_rate,decay,momentum,nesterov,optimizer,loss,epochs,verbose,batch_size,machine,runProcess
rmseBeyond15,349.0,18.68,31.44,2022/06/21 18:50:17,2021-01-17,2021-01-31,118,58,51,1e-06,0.0001,0.9,True,sgd,mean_squared_error,2000,0,0,Vivian,Triple
rmseBeyond15,7269.1,85.26,31.38,2022/06/21 18:50:52,2021-01-03,2021-01-17,118,58,51,1e-06,0.0001,1.0,True,sgd,mean_squared_error,2000,0,0,Vivian,Triple
keras_10_8456.h5,117.63,10.85,31.81,2022/06/21 18:51:28,2021-01-03,2021-01-17,118,58,51,1e-06,0.0001,0.7,True,sgd,mean_squared_error,2000,0,0,Vivian,Triple
rmseBeyond15,363.68,19.07,31.61,2022/06/21 18:52:04,2021-01-17,2021-01-31,118,58,51,1e-06,0.0001,0.7,True,sgd,mean_squared_error,2000,0,0,Vivian,Triple
rmseBeyond15,3433.12,58.59,31.58,2022/06/21 18:52:40,2021-01-03,2021-01-17,118,58,51,1e-06,0.01,0.9,True,sgd,mean_squared_error,2000,0,0,Vivian,Triple
rmseBeyond15,1156437.75,1075.38,31.49,2022/06/21 18:53:16,2021-01-03,2021-01-17,118,58,51,1e-06,0.01,1.0,True,sgd,mean_squared_error,2000,0,0,Vivian,Triple
rmseBeyond15,29748.96,172.48,31.93,2022/06/21 18:53:52,2021-01-03,2021-01-17,118,58,51,1e-06,0.01,0.7,True,sgd,mean_squared_error,2000,0,0,Vivian,Triple
rmseBeyond15,16602.2,128.85,33.64,2022/06/21 18:54:30,2021-01-03,2021-01-17,118,85,138,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,0,Vivian,Triple
rmseBeyond15,70251.55,265.05,33.47,2022/06/21 18:55:07,2021-01-03,2021-01-17,118,85,138,1e-05,0.0,1.0,True,sgd,mean_squared_error,2000,0,0,Vivian,Triple
keras_8_71956.h5,76.03,8.72,33.22,2022/06/21 18:55:45,2021-01-03,2021-01-17,118,85,138,1e-05,0.0,0.7,True,sgd,mean_squared_error,2000,0,0,Vivian,Triple
rmseBeyond15,352.54,18.78,33.73,2022/06/21 18:56:23,2021-01-17,2021-01-31,118,85,138,1e-05,0.0,0.7,True,sgd,mean_squared_error,2000,0,0,Vivian,Triple
rmseBeyond15,19695.35,140.34,33.71,2022/06/21 18:57:01,2021-01-03,2021-01-17,118,85,138,1e-05,1e-06,0.9,True,sgd,mean_squared_error,2000,0,0,Vivian,Triple
rmseBeyond15,228469392801792.0,15115203.4,33.1,2022/06/21 18:57:38,2021-01-03,2021-01-17,118,85,138,1e-05,1e-06,1.0,True,sgd,mean_squared_error,2000,0,0,Vivian,Triple
keras_8_82368.h5,77.86,8.82,33.31,2022/06/21 18:58:15,2021-01-03,2021-01-17,118,85,138,1e-05,1e-06,0.7,True,sgd,mean_squared_error,2000,0,0,Vivian,Triple
rmseBeyond15,352.62,18.78,33.18,2022/06/21 18:58:53,2021-01-17,2021-01-31,118,85,138,1e-05,1e-06,0.7,True,sgd,mean_squared_error,2000,0,0,Vivian,Triple
rmseBeyond15,11218.52,105.92,33.19,2022/06/21 18:59:30,2021-01-03,2021-01-17,118,85,138,1e-05,0.0001,0.9,True,sgd,mean_squared_error,2000,0,0,Vivian,Triple
rmseBeyond15,71184.41,266.8,33.43,2022/06/21 19:00:08,2021-01-03,2021-01-17,118,85,138,1e-05,0.0001,1.0,True,sgd,mean_squared_error,2000,0,0,Vivian,Triple
keras_10_1679.h5,103.39,10.17,33.34,2022/06/21 19:00:45,2021-01-03,2021-01-17,118,85,138,1e-05,0.0001,0.7,True,sgd,mean_squared_error,2000,0,0,Vivian,Triple
rmseBeyond15,357.35,18.9,34.63,2022/06/21 19:01:24,2021-01-17,2021-01-31,118,85,138,1e-05,0.0001,0.7,True,sgd,mean_squared_error,2000,0,0,Vivian,Triple
keras_11_0395.h5,121.87,11.04,33.5,2022/06/21 19:02:02,2021-01-03,2021-01-17,118,85,138,1e-05,0.01,0.9,True,sgd,mean_squared_error,2000,0,0,Vivian,Triple
rmseBeyond15,436.9,20.9,33.96,2022/06/21 19:02:40,2021-01-17,2021-01-31,118,85,138,1e-05,0.01,0.9,True,sgd,mean_squared_error,2000,0,0,Vivian,Triple
rmseBeyond15,96688.81,310.95,33.5,2022/06/21 19:03:18,2021-01-03,2021-01-17,118,85,138,1e-05,0.01,1.0,True,sgd,mean_squared_error,2000,0,0,Vivian,Triple
keras_13_7345.h5,188.64,13.73,33.78,2022/06/21 19:03:56,2021-01-03,2021-01-17,118,85,138,1e-05,0.01,0.7,True,sgd,mean_squared_error,2000,0,0,Vivian,Triple
