CMDLINE C:\Users\Vivian\anaconda3\python.exe .\package\Step-1_ANN_Two.py
MEM 1.601562 1655273868.5447
MEM 17.242188 1655273868.6483
MEM 27.625000 1655273868.7561
MEM 37.265625 1655273868.8648
MEM 45.925781 1655273868.9753
MEM 50.976562 1655273869.0842
MEM 52.906250 1655273869.1948
MEM 55.972656 1655273869.3044
MEM 60.625000 1655273869.4133
MEM 65.035156 1655273869.5213
MEM 69.480469 1655273869.6315
MEM 79.226562 1655273869.7400
MEM 82.472656 1655273869.8477
MEM 85.375000 1655273869.9571
MEM 87.554688 1655273870.0668
MEM 90.070312 1655273870.1762
MEM 90.167969 1655273870.2857
MEM 90.167969 1655273870.3965
MEM 90.167969 1655273870.5062
MEM 90.167969 1655273870.6159
MEM 90.167969 1655273870.7275
MEM 90.167969 1655273870.8383
MEM 92.398438 1655273870.9475
MEM 130.601562 1655273871.0566
MEM 135.300781 1655273871.1660
MEM 142.253906 1655273871.2752
MEM 151.140625 1655273871.3842
MEM 156.558594 1655273871.4938
MEM 162.832031 1655273871.6041
MEM 166.894531 1655273871.7115
MEM 172.843750 1655273871.8199
MEM 179.417969 1655273871.9280
MEM 183.644531 1655273872.0364
MEM 189.074219 1655273872.1462
MEM 192.574219 1655273872.2542
MEM 197.660156 1655273872.3615
MEM 202.800781 1655273872.4729
MEM 207.203125 1655273872.5819
MEM 211.070312 1655273872.6894
MEM 212.773438 1655273872.7989
MEM 214.039062 1655273872.9070
MEM 222.886719 1655273873.0177
MEM 227.578125 1655273873.1268
MEM 232.699219 1655273873.2351
MEM 237.878906 1655273873.3451
MEM 241.777344 1655273873.4534
MEM 242.210938 1655273873.5621
MEM 250.738281 1655273873.6709
MEM 252.046875 1655273873.7795
MEM 254.132812 1655273873.8897
MEM 255.472656 1655273873.9979
MEM 259.414062 1655273874.1065
MEM 268.511719 1655273874.2150
MEM 273.105469 1655273874.3228
MEM 282.253906 1655273874.4311
MEM 287.957031 1655273874.5419
MEM 288.449219 1655273874.6516
MEM 289.054688 1655273874.7603
MEM 289.472656 1655273874.8690
MEM 290.066406 1655273874.9797
MEM 293.992188 1655273875.0884
MEM 301.355469 1655273875.1959
MEM 304.285156 1655273875.3067
MEM 311.687500 1655273875.4147
