CMDLINE C:\Users\Vivian\anaconda3\python.exe .\package\Step-1_ANN_Two_Reconstruct.py
MEM 1.601562 1655289096.9829
MEM 18.648438 1655289097.0919
MEM 27.992188 1655289097.2034
MEM 37.625000 1655289097.3115
MEM 47.582031 1655289097.4197
MEM 61.046875 1655289097.5283
MEM 71.351562 1655289097.6396
MEM 79.093750 1655289097.7492
MEM 82.964844 1655289097.8589
MEM 86.289062 1655289097.9683
MEM 87.757812 1655289098.0781
MEM 124.613281 1655289098.1876
MEM 144.722656 1655289098.2980
MEM 161.496094 1655289098.4094
MEM 174.300781 1655289098.5198
MEM 184.105469 1655289098.6315
MEM 190.800781 1655289098.7391
MEM 200.492188 1655289098.8499
MEM 205.289062 1655289098.9576
MEM 215.941406 1655289099.0666
MEM 226.707031 1655289099.1758
MEM 236.253906 1655289099.2830
MEM 240.523438 1655289099.3904
MEM 245.777344 1655289099.4996
MEM 250.804688 1655289099.6100
MEM 253.027344 1655289099.7182
MEM 255.699219 1655289099.8272
MEM 261.898438 1655289099.9377
MEM 267.750000 1655289100.0476
MEM 275.816406 1655289100.1568
MEM 283.574219 1655289100.2680
MEM 288.328125 1655289100.3757
MEM 288.808594 1655289100.4844
MEM 289.394531 1655289100.5941
MEM 290.085938 1655289100.7019
MEM 290.425781 1655289100.8116
MEM 294.507812 1655289100.9202
MEM 300.996094 1655289101.0293
MEM 306.871094 1655289101.1390
MEM 311.273438 1655289101.2487
MEM 311.671875 1655289101.3594
MEM 312.304688 1655289101.4671
MEM 312.812500 1655289101.5778
MEM 313.582031 1655289101.6875
MEM 314.355469 1655289101.7972
MEM 314.679688 1655289101.9069
MEM 321.503906 1655289102.0177
MEM 321.542969 1655289102.1268
MEM 321.554688 1655289102.2369
MEM 321.605469 1655289102.3460
MEM 321.613281 1655289102.4557
MEM 321.625000 1655289102.5670
MEM 321.636719 1655289102.6753
MEM 321.648438 1655289102.7845
MEM 321.648438 1655289102.8923
MEM 321.707031 1655289103.0028
MEM 321.707031 1655289103.1106
MEM 321.710938 1655289103.2181
MEM 321.710938 1655289103.3277
MEM 321.734375 1655289103.4361
MEM 321.835938 1655289103.5450
MEM 321.960938 1655289103.6556
MEM 321.960938 1655289103.7650
MEM 321.960938 1655289103.8746
MEM 321.960938 1655289103.9822
MEM 321.960938 1655289104.0916
MEM 321.960938 1655289104.2006
MEM 321.960938 1655289104.3095
MEM 322.074219 1655289104.4183
MEM 322.085938 1655289104.5271
MEM 322.085938 1655289104.6377
MEM 322.085938 1655289104.7460
MEM 322.152344 1655289104.8564
MEM 322.281250 1655289104.9668
MEM 322.281250 1655289105.0742
MEM 322.281250 1655289105.1846
MEM 322.382812 1655289105.2941
MEM 322.507812 1655289105.4026
MEM 322.507812 1655289105.5112
MEM 322.507812 1655289105.6195
MEM 322.507812 1655289105.7292
MEM 322.507812 1655289105.8381
MEM 322.507812 1655289105.9461
MEM 322.507812 1655289106.0561
MEM 322.507812 1655289106.1660
MEM 322.750000 1655289106.2761
MEM 322.757812 1655289106.3858
MEM 322.757812 1655289106.4926
MEM 322.757812 1655289106.6011
MEM 322.757812 1655289106.7107
MEM 322.757812 1655289106.8190
MEM 322.757812 1655289106.9295
MEM 322.757812 1655289107.0374
MEM 322.757812 1655289107.1472
MEM 322.882812 1655289107.2552
MEM 322.882812 1655289107.3645
MEM 322.882812 1655289107.4725
MEM 323.031250 1655289107.5810
MEM 323.164062 1655289107.6915
MEM 323.171875 1655289107.8018
MEM 323.171875 1655289107.9102
MEM 323.171875 1655289108.0195
MEM 323.269531 1655289108.1300
MEM 323.273438 1655289108.2391
MEM 323.273438 1655289108.3493
MEM 323.273438 1655289108.4593
MEM 323.273438 1655289108.5682
MEM 323.273438 1655289108.6763
MEM 323.273438 1655289108.7847
MEM 323.425781 1655289108.8945
MEM 323.425781 1655289109.0033
MEM 323.531250 1655289109.1134
MEM 323.531250 1655289109.2218
MEM 323.531250 1655289109.3310
MEM 323.531250 1655289109.4397
MEM 323.531250 1655289109.5490
MEM 323.531250 1655289109.6586
MEM 323.531250 1655289109.7673
MEM 323.531250 1655289109.8770
MEM 323.632812 1655289109.9881
MEM 323.777344 1655289110.0959
MEM 323.777344 1655289110.2048
MEM 323.777344 1655289110.3139
MEM 323.777344 1655289110.4228
MEM 323.777344 1655289110.5329
MEM 323.777344 1655289110.6417
MEM 323.777344 1655289110.7515
MEM 323.902344 1655289110.8608
MEM 323.902344 1655289110.9689
MEM 323.902344 1655289111.0784
MEM 323.902344 1655289111.1870
MEM 323.902344 1655289111.2970
MEM 324.031250 1655289111.4060
MEM 324.031250 1655289111.5160
MEM 324.031250 1655289111.6248
MEM 324.148438 1655289111.7338
MEM 324.152344 1655289111.8442
MEM 324.152344 1655289111.9523
MEM 324.152344 1655289112.0609
MEM 324.152344 1655289112.1699
MEM 324.152344 1655289112.2797
MEM 324.152344 1655289112.3892
MEM 324.152344 1655289112.4980
MEM 324.277344 1655289112.6067
MEM 324.410156 1655289112.7163
MEM 324.410156 1655289112.8259
MEM 324.410156 1655289112.9331
MEM 324.410156 1655289113.0437
MEM 324.675781 1655289113.1534
MEM 324.675781 1655289113.2625
MEM 324.675781 1655289113.3725
MEM 324.699219 1655289113.4818
MEM 324.699219 1655289113.5911
MEM 324.699219 1655289113.7007
MEM 324.804688 1655289113.8104
MEM 324.804688 1655289113.9210
MEM 324.804688 1655289114.0307
MEM 324.804688 1655289114.1408
MEM 324.804688 1655289114.2511
MEM 324.921875 1655289114.3601
MEM 324.925781 1655289114.4679
MEM 324.925781 1655289114.5759
MEM 324.925781 1655289114.6876
MEM 324.925781 1655289114.7942
MEM 324.925781 1655289114.9015
MEM 325.050781 1655289115.0092
MEM 325.054688 1655289115.1171
MEM 325.054688 1655289115.2260
MEM 325.183594 1655289115.3357
MEM 325.183594 1655289115.4448
MEM 325.183594 1655289115.5530
MEM 325.183594 1655289115.6626
MEM 325.183594 1655289115.7728
MEM 325.183594 1655289115.8825
MEM 325.183594 1655289115.9917
MEM 325.183594 1655289116.0990
MEM 325.308594 1655289116.2074
MEM 325.437500 1655289116.3162
MEM 325.437500 1655289116.4254
MEM 325.437500 1655289116.5346
MEM 325.437500 1655289116.6431
MEM 325.437500 1655289116.7526
MEM 325.437500 1655289116.8626
MEM 325.437500 1655289116.9730
MEM 325.566406 1655289117.0783
MEM 325.566406 1655289117.1865
MEM 325.566406 1655289117.2961
MEM 325.566406 1655289117.4063
MEM 325.566406 1655289117.5157
MEM 325.671875 1655289117.6269
MEM 325.671875 1655289117.7349
MEM 325.671875 1655289117.8434
MEM 325.792969 1655289117.9533
MEM 325.800781 1655289118.0634
MEM 325.800781 1655289118.1723
MEM 325.800781 1655289118.2790
MEM 325.800781 1655289118.3866
MEM 325.800781 1655289118.4974
MEM 325.800781 1655289118.6077
MEM 325.800781 1655289118.7165
MEM 325.925781 1655289118.8232
MEM 326.058594 1655289118.9321
MEM 326.058594 1655289119.0412
MEM 326.058594 1655289119.1491
MEM 326.058594 1655289119.2584
MEM 326.058594 1655289119.3683
MEM 326.058594 1655289119.4781
MEM 326.058594 1655289119.5867
MEM 326.058594 1655289119.6965
MEM 326.187500 1655289119.8049
MEM 326.187500 1655289119.9147
MEM 326.187500 1655289120.0232
MEM 326.316406 1655289120.1315
MEM 326.316406 1655289120.2391
MEM 326.316406 1655289120.3489
MEM 326.316406 1655289120.4580
MEM 326.316406 1655289120.5661
MEM 326.445312 1655289120.6752
MEM 326.445312 1655289120.7854
MEM 326.445312 1655289120.8951
MEM 326.445312 1655289121.0044
MEM 326.445312 1655289121.1136
MEM 326.562500 1655289121.2226
MEM 326.699219 1655289121.3307
MEM 326.699219 1655289121.4404
MEM 326.824219 1655289121.5503
MEM 326.824219 1655289121.6585
MEM 326.824219 1655289121.7673
MEM 326.824219 1655289121.8768
MEM 326.824219 1655289121.9868
MEM 326.828125 1655289122.0960
MEM 326.824219 1655289122.2035
MEM 326.824219 1655289122.3104
MEM 326.824219 1655289122.4204
MEM 326.949219 1655289122.5296
MEM 327.078125 1655289122.6389
MEM 327.078125 1655289122.7468
MEM 327.074219 1655289122.8558
MEM 327.078125 1655289122.9660
MEM 327.078125 1655289123.0765
MEM 327.078125 1655289123.1858
MEM 327.074219 1655289123.2958
MEM 327.199219 1655289123.4057
MEM 327.203125 1655289123.5151
MEM 327.203125 1655289123.6254
MEM 327.203125 1655289123.7337
MEM 327.316406 1655289123.8444
MEM 327.328125 1655289123.9541
MEM 327.328125 1655289124.0648
MEM 327.332031 1655289124.1746
MEM 327.886719 1655289124.2853
MEM 327.886719 1655289124.3930
MEM 327.886719 1655289124.5048
MEM 327.886719 1655289124.6125
MEM 327.886719 1655289124.7200
MEM 327.886719 1655289124.8289
MEM 327.886719 1655289124.9375
MEM 327.886719 1655289125.0469
MEM 327.910156 1655289125.1549
MEM 327.910156 1655289125.2642
MEM 327.910156 1655289125.3734
MEM 327.910156 1655289125.4826
MEM 327.910156 1655289125.5920
MEM 327.910156 1655289125.7004
MEM 327.910156 1655289125.8115
MEM 327.910156 1655289125.9216
MEM 327.910156 1655289126.0293
MEM 328.011719 1655289126.1380
MEM 328.011719 1655289126.2464
MEM 328.011719 1655289126.3537
MEM 328.136719 1655289126.4623
MEM 328.136719 1655289126.5701
MEM 328.136719 1655289126.6794
MEM 328.136719 1655289126.7890
MEM 328.136719 1655289126.8992
MEM 328.261719 1655289127.0089
MEM 328.437500 1655289127.1178
MEM 328.445312 1655289127.2280
MEM 328.445312 1655289127.3352
MEM 328.445312 1655289127.4447
MEM 328.445312 1655289127.5535
MEM 328.546875 1655289127.6625
MEM 328.550781 1655289127.7715
MEM 328.679688 1655289127.8792
MEM 328.683594 1655289127.9875
MEM 328.683594 1655289128.0970
MEM 328.683594 1655289128.2051
MEM 328.683594 1655289128.3145
MEM 328.683594 1655289128.4245
MEM 328.683594 1655289128.5341
MEM 328.683594 1655289128.6443
MEM 328.812500 1655289128.7538
MEM 328.820312 1655289128.8628
MEM 328.945312 1655289128.9710
MEM 328.945312 1655289129.0810
MEM 328.945312 1655289129.1910
MEM 328.945312 1655289129.3007
MEM 328.945312 1655289129.4110
MEM 328.945312 1655289129.5212
MEM 328.945312 1655289129.6317
MEM 329.070312 1655289129.7381
MEM 329.070312 1655289129.8477
MEM 329.070312 1655289129.9556
MEM 329.070312 1655289130.0649
MEM 329.195312 1655289130.1740
MEM 329.195312 1655289130.2820
MEM 329.195312 1655289130.3895
MEM 329.195312 1655289130.4983
MEM 329.320312 1655289130.6074
MEM 329.320312 1655289130.7167
MEM 329.320312 1655289130.8265
MEM 329.320312 1655289130.9354
MEM 329.320312 1655289131.0431
MEM 329.320312 1655289131.1529
MEM 329.320312 1655289131.2620
MEM 329.320312 1655289131.3697
MEM 329.566406 1655289131.4785
MEM 329.570312 1655289131.5884
MEM 329.570312 1655289131.6982
MEM 329.570312 1655289131.8066
MEM 329.570312 1655289131.9165
MEM 329.570312 1655289132.0260
MEM 329.570312 1655289132.1342
MEM 329.570312 1655289132.2431
MEM 329.687500 1655289132.3527
MEM 329.695312 1655289132.4609
MEM 329.695312 1655289132.5692
MEM 329.820312 1655289132.6778
MEM 329.820312 1655289132.7854
MEM 329.820312 1655289132.8943
MEM 329.820312 1655289133.0028
MEM 329.820312 1655289133.1120
MEM 329.820312 1655289133.2198
MEM 329.945312 1655289133.3297
MEM 329.945312 1655289133.4391
MEM 329.945312 1655289133.5472
MEM 329.945312 1655289133.6558
MEM 329.945312 1655289133.7640
MEM 329.945312 1655289133.8729
MEM 330.070312 1655289133.9811
MEM 330.074219 1655289134.0905
MEM 330.199219 1655289134.1984
MEM 330.199219 1655289134.3063
MEM 330.199219 1655289134.4165
MEM 330.199219 1655289134.5243
MEM 330.199219 1655289134.6330
MEM 330.199219 1655289134.7416
MEM 330.199219 1655289134.8532
MEM 330.199219 1655289134.9622
MEM 330.320312 1655289135.0713
MEM 330.324219 1655289135.1793
MEM 330.453125 1655289135.2890
MEM 330.453125 1655289135.4000
MEM 330.453125 1655289135.5090
MEM 330.453125 1655289135.6183
MEM 330.453125 1655289135.7277
MEM 330.453125 1655289135.8366
MEM 330.453125 1655289135.9460
MEM 330.578125 1655289136.0543
MEM 330.578125 1655289136.1646
MEM 330.578125 1655289136.2738
MEM 330.578125 1655289136.3836
MEM 330.703125 1655289136.4928
MEM 330.703125 1655289136.6022
MEM 330.703125 1655289136.7101
MEM 330.703125 1655289136.8178
MEM 330.832031 1655289136.9266
MEM 330.835938 1655289137.0345
MEM 330.835938 1655289137.1440
MEM 330.835938 1655289137.2536
MEM 330.835938 1655289137.3625
MEM 330.851562 1655289137.4735
MEM 330.851562 1655289137.5835
MEM 330.968750 1655289137.6918
MEM 331.097656 1655289137.8019
MEM 331.097656 1655289137.9091
MEM 331.097656 1655289138.0182
MEM 331.097656 1655289138.1276
MEM 331.097656 1655289138.2354
MEM 331.097656 1655289138.3445
MEM 331.097656 1655289138.4534
MEM 331.097656 1655289138.5612
MEM 331.218750 1655289138.6710
MEM 331.222656 1655289138.7809
MEM 331.222656 1655289138.8904
MEM 331.351562 1655289138.9976
MEM 331.351562 1655289139.1079
MEM 331.351562 1655289139.2167
MEM 331.351562 1655289139.3249
MEM 331.351562 1655289139.4322
MEM 331.351562 1655289139.5406
MEM 331.472656 1655289139.6494
MEM 331.472656 1655289139.7584
MEM 331.472656 1655289139.8662
MEM 331.472656 1655289139.9746
MEM 331.472656 1655289140.0833
MEM 331.472656 1655289140.1917
MEM 331.597656 1655289140.3031
MEM 331.597656 1655289140.4126
MEM 331.726562 1655289140.5212
MEM 331.726562 1655289140.6280
MEM 331.726562 1655289140.7366
MEM 331.726562 1655289140.8482
MEM 331.726562 1655289140.9571
MEM 331.726562 1655289141.0668
MEM 331.726562 1655289141.1772
MEM 331.726562 1655289141.2848
MEM 331.847656 1655289141.3936
MEM 331.855469 1655289141.5028
MEM 331.976562 1655289141.6121
MEM 331.976562 1655289141.7217
MEM 331.976562 1655289141.8306
MEM 331.976562 1655289141.9392
MEM 331.976562 1655289142.0487
MEM 331.976562 1655289142.1578
MEM 331.976562 1655289142.2678
MEM 332.101562 1655289142.3772
MEM 332.101562 1655289142.4866
MEM 332.101562 1655289142.5940
MEM 332.101562 1655289142.7021
MEM 332.226562 1655289142.8121
MEM 332.230469 1655289142.9208
MEM 332.230469 1655289143.0307
MEM 332.230469 1655289143.1395
MEM 332.250000 1655289143.2484
MEM 332.250000 1655289143.3589
MEM 332.250000 1655289143.4686
MEM 332.250000 1655289143.5786
MEM 332.250000 1655289143.6872
MEM 332.250000 1655289143.7955
MEM 332.250000 1655289143.9050
MEM 332.250000 1655289144.0119
MEM 332.757812 1655289144.1219
MEM 332.757812 1655289144.2299
MEM 332.757812 1655289144.3379
MEM 332.757812 1655289144.4459
MEM 332.757812 1655289144.5562
MEM 332.757812 1655289144.6640
MEM 332.757812 1655289144.7734
MEM 332.757812 1655289144.8833
MEM 332.757812 1655289144.9939
MEM 332.757812 1655289145.1029
MEM 332.757812 1655289145.2118
MEM 332.757812 1655289145.3207
MEM 332.757812 1655289145.4306
MEM 332.757812 1655289145.5390
