CMDLINE C:\Users\Vivian\anaconda3\python.exe ./package/Step-1_ANN_Two_multiprocess.py
MEM 1.597656 1655379582.1803
MEM 17.046875 1655379582.2901
MEM 27.574219 1655379582.3991
MEM 37.417969 1655379582.5085
MEM 47.187500 1655379582.6180
MEM 60.093750 1655379582.7272
MEM 70.257812 1655379582.8368
MEM 79.175781 1655379582.9460
MEM 82.746094 1655379583.0555
MEM 85.398438 1655379583.1648
MEM 87.554688 1655379583.2741
MEM 91.382812 1655379583.3835
MEM 101.675781 1655379583.4931
MEM 108.722656 1655379583.6022
MEM 119.957031 1655379583.7116
MEM 113.648438 1655379583.8212
