CMDLINE C:\Users\Vivian\anaconda3\python.exe .\test_memoryLeak.py
MEM 1.601562 1655270802.5881
MEM 16.156250 1655270802.6889
MEM 25.746094 1655270802.7969
MEM 32.273438 1655270802.9056
MEM 39.664062 1655270803.0145
MEM 51.667969 1655270803.1245
MEM 58.164062 1655270803.2322
MEM 61.539062 1655270803.3399
MEM 64.746094 1655270803.4486
MEM 67.031250 1655270803.5557
MEM 67.820312 1655270803.6644
MEM 68.414062 1655270803.7731
MEM 77.175781 1655270803.8818
MEM 77.464844 1655270803.9905
MEM 77.531250 1655270804.1002
MEM 77.582031 1655270804.2099
MEM 77.582031 1655270804.3187
MEM 85.875000 1655270804.4274
MEM 87.632812 1655270804.5372
MEM 89.640625 1655270804.6469
MEM 90.238281 1655270804.7546
MEM 91.300781 1655270804.8624
MEM 91.312500 1655270804.9710
MEM 91.355469 1655270805.0807
MEM 92.750000 1655270805.1895
MEM 93.136719 1655270805.2992
MEM 93.648438 1655270805.4069
MEM 93.660156 1655270805.5146
MEM 93.687500 1655270805.6233
MEM 94.898438 1655270805.7320
MEM 95.328125 1655270805.8407
MEM 95.328125 1655270805.9484
MEM 95.328125 1655270806.0571
MEM 96.519531 1655270806.1639
MEM 96.519531 1655270806.2726
MEM 96.769531 1655270806.3813
MEM 96.769531 1655270806.4900
MEM 96.773438 1655270806.5987
MEM 97.949219 1655270806.7074
MEM 98.156250 1655270806.8171
MEM 98.156250 1655270806.9248
MEM 98.156250 1655270807.0335
MEM 99.332031 1655270807.1433
MEM 99.394531 1655270807.2529
MEM 99.585938 1655270807.3606
MEM 99.585938 1655270807.4684
MEM 100.761719 1655270807.5771
MEM 100.761719 1655270807.6868
MEM 100.933594 1655270807.7965
MEM 100.933594 1655270807.9052
MEM 100.933594 1655270808.0139
MEM 102.109375 1655270808.1226
MEM 102.335938 1655270808.2323
MEM 102.335938 1655270808.3410
MEM 102.335938 1655270808.4507
MEM 103.511719 1655270808.5595
MEM 103.527344 1655270808.6691
MEM 103.894531 1655270808.7779
MEM 103.894531 1655270808.8876
MEM 103.902344 1655270808.9943
MEM 105.078125 1655270809.1020
MEM 105.269531 1655270809.2097
MEM 105.269531 1655270809.3174
MEM 105.269531 1655270809.4261
MEM 106.445312 1655270809.5358
MEM 107.882812 1655270809.6446
MEM 106.761719 1655270809.7532
MEM 106.761719 1655270809.8617
MEM 107.937500 1655270809.9694
MEM 107.937500 1655270810.0782
MEM 108.093750 1655270810.1849
MEM 108.093750 1655270810.2946
MEM 109.269531 1655270810.4043
MEM 109.269531 1655270810.5120
MEM 109.433594 1655270810.6187
MEM 109.433594 1655270810.7284
MEM 109.433594 1655270810.8371
MEM 110.609375 1655270810.9458
MEM 110.894531 1655270811.0545
MEM 110.898438 1655270811.1632
MEM 110.898438 1655270811.2720
MEM 112.074219 1655270811.3807
MEM 113.417969 1655270811.4884
MEM 112.292969 1655270811.5981
MEM 112.292969 1655270811.7068
MEM 113.468750 1655270811.8155
MEM 113.468750 1655270811.9252
MEM 113.785156 1655270812.0349
MEM 113.785156 1655270812.1436
MEM 113.785156 1655270812.2513
MEM 114.960938 1655270812.3591
MEM 115.179688 1655270812.4677
MEM 115.179688 1655270812.5775
MEM 115.179688 1655270812.6852
MEM 116.355469 1655270812.7959
MEM 117.824219 1655270812.9046
MEM 116.773438 1655270813.0143
MEM 116.773438 1655270813.1230
MEM 117.949219 1655270813.2327
MEM 118.011719 1655270813.3424
MEM 118.226562 1655270813.4511
MEM 118.226562 1655270813.5609
MEM 118.226562 1655270813.6685
MEM 119.402344 1655270813.7782
MEM 119.593750 1655270813.8870
MEM 119.593750 1655270813.9937
MEM 119.593750 1655270814.1014
MEM 94.406250 1655270814.2111
MEM 94.406250 1655270814.3208
MEM 94.769531 1655270814.4295
MEM 94.792969 1655270814.5382
MEM 94.914062 1655270814.6469
MEM 96.089844 1655270814.7566
MEM 96.089844 1655270814.8634
MEM 96.253906 1655270814.9721
MEM 96.253906 1655270815.0818
MEM 97.433594 1655270815.1905
MEM 97.433594 1655270815.3002
MEM 97.519531 1655270815.4089
MEM 97.519531 1655270815.5166
MEM 97.519531 1655270815.6253
MEM 98.695312 1655270815.7350
MEM 98.757812 1655270815.8428
MEM 98.757812 1655270815.9524
MEM 98.757812 1655270816.0621
MEM 99.933594 1655270816.1708
MEM 99.933594 1655270816.2796
MEM 99.996094 1655270816.3863
MEM 99.996094 1655270816.4940
MEM 101.191406 1655270816.6037
MEM 101.191406 1655270816.7124
MEM 101.253906 1655270816.8221
MEM 101.253906 1655270816.9298
MEM 101.265625 1655270817.0395
MEM 102.445312 1655270817.1482
MEM 103.683594 1655270817.2569
MEM 102.507812 1655270817.3657
MEM 102.527344 1655270817.4734
MEM 103.707031 1655270817.5811
MEM 103.707031 1655270817.6898
MEM 103.835938 1655270817.7995
MEM 103.835938 1655270817.9092
MEM 105.023438 1655270818.0187
MEM 105.023438 1655270818.1284
MEM 105.128906 1655270818.2381
MEM 105.156250 1655270818.3458
MEM 105.167969 1655270818.4555
MEM 106.347656 1655270818.5652
MEM 107.523438 1655270818.6719
MEM 106.371094 1655270818.7807
MEM 106.382812 1655270818.8893
MEM 107.562500 1655270818.9990
MEM 107.562500 1655270819.1068
MEM 107.742188 1655270819.2135
MEM 107.769531 1655270819.3212
MEM 107.773438 1655270819.4299
MEM 108.953125 1655270819.5396
MEM 109.062500 1655270819.6473
MEM 109.316406 1655270819.7560
MEM 109.316406 1655270819.8628
MEM 110.492188 1655270819.9714
MEM 110.492188 1655270820.0801
MEM 110.492188 1655270820.1899
MEM 110.492188 1655270820.2976
MEM 111.707031 1655270820.4053
MEM 111.707031 1655270820.5150
MEM 111.820312 1655270820.6247
MEM 111.824219 1655270820.7334
MEM 111.824219 1655270820.8401
MEM 113.003906 1655270820.9479
MEM 114.269531 1655270821.0545
MEM 113.136719 1655270821.1642
MEM 113.152344 1655270821.2740
MEM 114.328125 1655270821.3827
MEM 114.328125 1655270821.4904
MEM 114.453125 1655270821.5971
MEM 114.453125 1655270821.7038
MEM 114.457031 1655270821.8106
MEM 115.632812 1655270821.9172
MEM 115.746094 1655270822.0249
MEM 115.746094 1655270822.1322
MEM 115.757812 1655270822.2419
MEM 116.937500 1655270822.3496
MEM 116.937500 1655270822.4573
MEM 117.101562 1655270822.5640
MEM 117.101562 1655270822.6728
MEM 117.125000 1655270822.7815
MEM 118.308594 1655270822.8911
MEM 118.371094 1655270822.9998
MEM 118.371094 1655270823.1096
MEM 118.378906 1655270823.2193
MEM 119.554688 1655270823.3260
MEM 119.554688 1655270823.4337
MEM 119.718750 1655270823.5434
MEM 119.718750 1655270823.6521
MEM 120.632812 1655270823.7608
MEM 120.894531 1655270823.8686
MEM 121.046875 1655270823.9762
MEM 121.046875 1655270824.0839
MEM 121.046875 1655270824.1917
MEM 122.222656 1655270824.3004
MEM 122.222656 1655270824.4091
MEM 122.382812 1655270824.5168
MEM 122.382812 1655270824.6255
MEM 123.039062 1655270824.7332
MEM 123.558594 1655270824.8419
MEM 123.785156 1655270824.9516
MEM 123.789062 1655270825.0614
MEM 123.789062 1655270825.1710
MEM 124.964844 1655270825.2788
MEM 125.042969 1655270825.3875
MEM 125.332031 1655270825.4962
MEM 125.332031 1655270825.6039
MEM 126.507812 1655270825.7116
MEM 126.507812 1655270825.8194
MEM 126.757812 1655270825.9290
MEM 126.757812 1655270826.0377
MEM 126.757812 1655270826.1444
MEM 127.933594 1655270826.2531
MEM 127.933594 1655270826.3629
MEM 128.128906 1655270826.4726
MEM 128.128906 1655270826.5783
MEM 129.304688 1655270826.6880
MEM 129.304688 1655270826.7977
MEM 129.570312 1655270826.9054
MEM 129.570312 1655270827.0151
MEM 129.570312 1655270827.1238
MEM 130.746094 1655270827.2325
MEM 132.019531 1655270827.3422
MEM 130.914062 1655270827.4509
MEM 130.914062 1655270827.5577
MEM 132.089844 1655270827.6654
MEM 132.089844 1655270827.7731
MEM 132.285156 1655270827.8808
MEM 132.285156 1655270827.9885
MEM 132.285156 1655270828.0963
MEM 133.460938 1655270828.2060
MEM 134.835938 1655270828.3156
MEM 133.699219 1655270828.4254
MEM 133.699219 1655270828.5341
MEM 134.875000 1655270828.6428
MEM 134.878906 1655270828.7515
MEM 135.320312 1655270828.8582
